Mpha_RNA1086_R9	gene_0
Mpha_RNA226_R0	gene_165
Sinv_RNA17741_R0	gene_166
Amel_RNA17068_R0	gene_167
Mpha_RNA229_R0	gene_168
Cbir_RNA9378_R0	gene_168
Cbir_RNA14064_R9	gene_169
Cbir_RNA5387_R0	gene_170
Aech_RNA16349_R0	gene_171
Dmel_RNA6365_R3	gene_172
Dqua_RNA5200_R0	gene_173
Dmel_RNA3094_R7	gene_174
Mpha_RNA234_R0	gene_175
Mpha_RNA235_R0	gene_176
Sinv_RNA12729_R1	gene_177
Sinv_RNA19270_R1	gene_178
Sinv_RNA19271_R3	gene_179
Sinv_RNA16450_R6	gene_180
Aech_RNA12023_R4	gene_181
Lhum_RNA295_R2	gene_182
Mpha_RNA2922_R7	gene_183
Aech_RNA9163_R0	gene_184
Mpha_RNA238_R0	gene_185
Mpha_RNA239_R0	gene_186
Mpha_RNA237_R0	gene_187
Aech_RNA21654_R0	gene_188
Mpha_RNA242_R0	gene_189
Mpha_RNA241_R0	gene_190
Mpha_RNA243_R0	gene_191
Mpha_RNA244_R0	gene_191
Cbir_RNA1373_R0	gene_191
Aech_RNA6202_R1	gene_192
Sinv_RNA18532_R1	gene_193
Dqua_RNA13328_R2	gene_194
Mpha_RNA249_R0	gene_195
Aech_RNA12024_R7	gene_196
Mpha_RNA250_R0	gene_197
Mpha_RNA729_R2	gene_197
Mpha_RNA251_R0	gene_198
Cbir_RNA11284_R3	gene_199
Aech_RNA4934_R1	gene_200
Mpha_RNA256_R0	gene_201
Mpha_RNA3858_R1	gene_202
Sinv_RNA19007_R2	gene_203
Mpha_RNA3211_R6	gene_204
Lhum_RNA3466_R1	gene_205
Sinv_RNA17340_R7	gene_206
Sinv_RNA16919_R0	gene_207
Sinv_RNA2207_R1	gene_208
Sinv_RNA9610_R0	gene_209
Mpha_RNA259_R0	gene_210
Mpha_RNA260_R0	gene_211
Mpha_RNA261_R0	gene_211
Mpha_RNA262_R0	gene_212
Lhum_RNA20789_R2	gene_212
Sinv_RNA21149_R0	gene_212
Aech_RNA9561_R0	gene_213
Mpha_RNA264_R0	gene_214
Mpha_RNA267_R0	gene_215
Mpha_RNA265_R0	gene_216
Mpha_RNA266_R0	gene_216
Dqua_RNA6114_R0	gene_216
Amel_RNA3355_R0	gene_216
Mpha_RNA268_R0	gene_217
Mpha_RNA275_R0	gene_218
Mpha_RNA288_R0	gene_219
Mpha_RNA280_R0	gene_220
Mpha_RNA273_R0	gene_221
Mpha_RNA271_R0	gene_222
Lhum_RNA15666_R0	gene_223
Mpha_RNA286_R0	gene_224
Mpha_RNA279_R0	gene_225
Mpha_RNA272_R0	gene_226
Mpha_RNA290_R0	gene_227
Mpha_RNA284_R0	gene_228
Mpha_RNA294_R0	gene_229
Dqua_RNA1100_R0	gene_229
Mpha_RNA289_R0	gene_230
Mpha_RNA287_R0	gene_231
Mpha_RNA291_R0	gene_232
Mpha_RNA278_R0	gene_233
Dqua_RNA1121_R0	gene_234
Mpha_RNA285_R0	gene_235
Mpha_RNA281_R0	gene_236
Mpha_RNA277_R0	gene_237
Mpha_RNA283_R0	gene_238
Dqua_RNA1120_R0	gene_239
Aech_RNA7489_R0	gene_240
Dqua_RNA18674_R0	gene_241
Dqua_RNA23609_R1	gene_242
Lhum_RNA15668_R0	gene_243
Cbir_RNA6921_R1	gene_244
Mpha_RNA4878_R1	gene_245
Mpha_RNA1131_R9	gene_246
Mpha_RNA296_R0	gene_247
Sinv_RNA15816_R4	gene_248
Mpha_RNA300_R0	gene_249
Mpha_RNA298_R0	gene_249
Nvit_RNA13204_R0	gene_250
Mpha_RNA301_R0	gene_251
Dmel_RNA8760_R0	gene_251
Mpha_RNA1189_R9	gene_252
Sinv_RNA5358_R3	gene_253
Mpha_RNA303_R0	gene_254
Cbir_RNA9236_R0	gene_254
Dqua_RNA22112_R9	gene_255
Sinv_RNA19041_R2	gene_256
Mpha_RNA304_R0	gene_257
Dmel_RNA1896_R3	gene_258
Aech_RNA13421_R2	gene_259
Dqua_RNA8181_R0	gene_260
Mpha_RNA306_R0	gene_261
Aech_RNA16726_R0	gene_261
Dmel_RNA5814_R0	gene_261
Mpha_RNA307_R0	gene_262
Mpha_RNA308_R0	gene_263
Mpha_RNA309_R0	gene_264
Mpha_RNA313_R0	gene_265
Mpha_RNA310_R0	gene_266
Sinv_RNA3869_R0	gene_266
Mpha_RNA320_R0	gene_267
Mpha_RNA323_R0	gene_268
Sinv_RNA20835_R0	gene_269
Mpha_RNA316_R0	gene_270
Mpha_RNA315_R0	gene_271
Cbir_RNA49_R0	gene_272
Dqua_RNA6427_R6	gene_273
Mpha_RNA329_R0	gene_274
Sinv_RNA22017_R1	gene_275
Mpha_RNA330_R0	gene_276
Mpha_RNA5377_R3	gene_277
Sinv_RNA16957_R8	gene_278
Dmel_RNA14389_R2	gene_279
Mpha_RNA336_R0	gene_280
Dmel_RNA10191_R0	gene_280
Mpha_RNA334_R0	gene_281
Aech_RNA18302_R0	gene_281
Nvit_RNA4543_R2	gene_281
Mpha_RNA333_R0	gene_282
Nvit_RNA8036_R1	gene_283
Mpha_RNA335_R0	gene_284
Mpha_RNA337_R0	gene_285
Lhum_RNA6434_R6	gene_286
Lhum_RNA4885_R0	gene_287
Mpha_RNA338_R0	gene_288
Aech_RNA18866_R0	gene_288
Lhum_RNA4880_R0	gene_289
Mpha_RNA340_R0	gene_289
Aech_RNA2509_R7	gene_289
Mpha_RNA342_R0	gene_290
Mpha_RNA344_R0	gene_290
Lhum_RNA4877_R1	gene_290
Lhum_RNA1521_R1	gene_290
Lhum_RNA22373_R0	gene_290
Lhum_RNA4876_R1	gene_290
Sinv_RNA5166_R2	gene_290
Lhum_RNA12785_R0	gene_291
Mpha_RNA345_R0	gene_292
Aech_RNA12561_R0	gene_292
Mpha_RNA346_R0	gene_292
Mpha_RNA347_R0	gene_293
Sinv_RNA11063_R2	gene_294
Aech_RNA10785_R3	gene_295
Mpha_RNA351_R0	gene_296
Mpha_RNA352_R0	gene_297
Sinv_RNA18906_R6	gene_298
Mpha_RNA353_R0	gene_299
Sinv_RNA22221_R0	gene_300
Mpha_RNA357_R0	gene_301
Mpha_RNA355_R0	gene_301
Sinv_RNA1104_R0	gene_302
Aech_RNA7614_R3	gene_303
Mpha_RNA362_R0	gene_304
Mpha_RNA363_R0	gene_305
Mpha_RNA361_R0	gene_306
Mpha_RNA360_R0	gene_306
Mpha_RNA364_R0	gene_307
Sinv_RNA10338_R3	gene_308
Cbir_RNA18719_R4	gene_309
Aech_RNA17440_R9	gene_310
Nvit_RNA2720_R6	gene_311
Mpha_RNA369_R0	gene_312
Mpha_RNA367_R0	gene_313
Cbir_RNA24965_R4	gene_314
Mpha_RNA12195_R1	gene_314
Cbir_RNA13289_R2	gene_314
Cbir_RNA13290_R3	gene_314
Mpha_RNA1393_R3	gene_314
Cbir_RNA18611_R3	gene_314
Mpha_RNA366_R0	gene_314
Cbir_RNA13292_R3	gene_314
Mpha_RNA13695_R6	gene_314
Cbir_RNA25047_R9	gene_314
Lhum_RNA21084_R3	gene_314
Cbir_RNA25335_R0	gene_314
Cbir_RNA9883_R4	gene_314
Cbir_RNA25134_R5	gene_314
Cbir_RNA24607_R5	gene_314
Cbir_RNA24026_R2	gene_314
Mpha_RNA212_R0	gene_314
Cbir_RNA21364_R4	gene_314
Cbir_RNA14491_R2	gene_314
Sinv_RNA11269_R5	gene_314
Sinv_RNA11248_R4	gene_314
Sinv_RNA11263_R4	gene_314
Cbir_RNA15972_R6	gene_314
Lhum_RNA17728_R9	gene_314
Lhum_RNA17729_R9	gene_314
Mpha_RNA17746_R6	gene_314
Cbir_RNA13319_R6	gene_314
Cbir_RNA9877_R9	gene_314
Mpha_RNA368_R0	gene_315
Mpha_RNA12194_R1	gene_316
Mpha_RNA11236_R8	gene_317
Mpha_RNA370_R0	gene_318
Mpha_RNA91_R3	gene_319
Mpha_RNA371_R0	gene_320
Mpha_RNA372_R0	gene_320
Sinv_RNA17345_R4	gene_321
Mpha_RNA374_R0	gene_322
Mpha_RNA373_R0	gene_323
Dqua_RNA2455_R2	gene_324
Mpha_RNA375_R0	gene_325
Nvit_RNA11556_R0	gene_326
Mpha_RNA384_R0	gene_327
Sinv_RNA12286_R7	gene_328
Mpha_RNA385_R0	gene_329
Mpha_RNA386_R0	gene_330
Mpha_RNA389_R0	gene_331
Sinv_RNA15527_R0	gene_331
Mpha_RNA390_R0	gene_332
Lhum_RNA4878_R3	gene_332
Lhum_RNA4877_R3	gene_332
Lhum_RNA4876_R3	gene_332
Dqua_RNA23271_R4	gene_332
Mpha_RNA398_R0	gene_333
Mpha_RNA400_R0	gene_334
Mpha_RNA401_R0	gene_334
Sinv_RNA13690_R0	gene_334
Cbir_RNA2543_R0	gene_334
Mpha_RNA397_R0	gene_335
Mpha_RNA396_R0	gene_335
Mpha_RNA395_R0	gene_335
Mpha_RNA394_R0	gene_335
Amel_RNA8567_R0	gene_335
Mpha_RNA399_R0	gene_336
Mpha_RNA402_R0	gene_337
Cbir_RNA16918_R0	gene_338
Sinv_RNA20027_R3	gene_339
Mpha_RNA10375_R1	gene_340
Sinv_RNA17662_R6	gene_341
Cbir_RNA18402_R4	gene_342
Amel_RNA29192_R3	gene_343
Cbir_RNA14074_R0	gene_344
Sinv_RNA11587_R6	gene_345
Mpha_RNA1159_R2	gene_346
Mpha_RNA403_R0	gene_347
Mpha_RNA404_R0	gene_348
Lhum_RNA1579_R7	gene_349
Lhum_RNA2154_R5	gene_350
Lhum_RNA8162_R9	gene_351
Mpha_RNA18337_R5	gene_352
Mpha_RNA7379_R7	gene_353
Mpha_RNA405_R0	gene_354
Mpha_RNA407_R0	gene_355
Mpha_RNA409_R0	gene_356
Mpha_RNA411_R0	gene_357
Mpha_RNA413_R0	gene_358
Lhum_RNA2574_R8	gene_359
Sinv_RNA11913_R0	gene_360
Mpha_RNA417_R0	gene_361
Mpha_RNA418_R0	gene_362
Mpha_RNA422_R0	gene_363
Mpha_RNA423_R0	gene_364
Mpha_RNA424_R0	gene_365
Mpha_RNA425_R0	gene_366
Mpha_RNA427_R0	gene_367
Amel_RNA15146_R0	gene_368
Mpha_RNA430_R0	gene_369
Dmel_RNA16293_R0	gene_369
Mpha_RNA436_R0	gene_370
Dmel_RNA20575_R0	gene_370
Mpha_RNA448_R0	gene_371
Mpha_RNA433_R0	gene_372
Mpha_RNA435_R0	gene_373
Mpha_RNA441_R0	gene_374
Mpha_RNA442_R0	gene_375
Mpha_RNA443_R0	gene_376
Mpha_RNA444_R0	gene_377
Mpha_RNA445_R0	gene_378
Nvit_RNA8953_R0	gene_378
Mpha_RNA447_R0	gene_379
Mpha_RNA450_R0	gene_380
Mpha_RNA455_R0	gene_381
Mpha_RNA451_R0	gene_382
Amel_RNA20851_R0	gene_382
Dqua_RNA18496_R0	gene_383
Mpha_RNA456_R0	gene_384
Amel_RNA7112_R0	gene_385
Mpha_RNA461_R0	gene_386
Mpha_RNA463_R0	gene_387
Mpha_RNA460_R0	gene_388
Dqua_RNA5615_R0	gene_388
Mpha_RNA462_R0	gene_389
Cbir_RNA3328_R0	gene_390
Mpha_RNA464_R0	gene_391
Sinv_RNA21561_R6	gene_392
Sinv_RNA9731_R1	gene_393
Cbir_RNA9714_R7	gene_394
Mpha_RNA466_R0	gene_395
Mpha_RNA467_R0	gene_396
Cbir_RNA22189_R0	gene_397
Nvit_RNA25824_R4	gene_398
Nvit_RNA10842_R8	gene_399
Nvit_RNA17717_R6	gene_400
Sinv_RNA18064_R7	gene_401
Mpha_RNA470_R0	gene_402
Nvit_RNA8036_R6	gene_403
Lhum_RNA12785_R1	gene_404
Mpha_RNA472_R0	gene_405
Cbir_RNA13413_R5	gene_406
Aech_RNA7592_R5	gene_407
Sinv_RNA14292_R1	gene_408
Nvit_RNA25736_R9	gene_409
Mpha_RNA474_R0	gene_410
Mpha_RNA476_R0	gene_411
Mpha_RNA478_R0	gene_412
Mpha_RNA477_R0	gene_412
Mpha_RNA481_R0	gene_413
Mpha_RNA482_R0	gene_414
Mpha_RNA483_R0	gene_415
Aech_RNA14951_R0	gene_415
Amel_RNA13048_R5	gene_416
Mpha_RNA484_R0	gene_417
Lhum_RNA9461_R1	gene_418
Nvit_RNA25826_R0	gene_419
Mpha_RNA486_R0	gene_420
Mpha_RNA487_R0	gene_421
Mpha_RNA492_R0	gene_422
Dmel_RNA33552_R0	gene_422
Mpha_RNA495_R0	gene_423
Nvit_RNA22347_R0	gene_423
Dmel_RNA17798_R0	gene_423
Nvit_RNA17928_R1	gene_423
Mpha_RNA498_R0	gene_424
Nvit_RNA22348_R0	gene_424
Sinv_RNA13980_R0	gene_425
Mpha_RNA488_R0	gene_426
Cbir_RNA16976_R0	gene_426
Mpha_RNA491_R0	gene_427
Mpha_RNA496_R0	gene_428
Amel_RNA16296_R1	gene_429
Mpha_RNA502_R0	gene_430
Mpha_RNA501_R0	gene_430
Mpha_RNA503_R0	gene_431
Sinv_RNA9666_R1	gene_432
Sinv_RNA19968_R5	gene_433
Mpha_RNA1145_R2	gene_434
Mpha_RNA504_R0	gene_435
Mpha_RNA505_R0	gene_436
Amel_RNA8680_R0	gene_436
Mpha_RNA506_R0	gene_437
Cbir_RNA1013_R2	gene_438
Mpha_RNA508_R0	gene_439
Aech_RNA13582_R1	gene_439
Mpha_RNA509_R0	gene_440
Sinv_RNA373_R4	gene_440
Amel_RNA27357_R7	gene_440
Sinv_RNA17336_R5	gene_441
Aech_RNA14576_R1	gene_442
Mpha_RNA512_R0	gene_443
Mpha_RNA514_R0	gene_444
Mpha_RNA513_R0	gene_445
Nvit_RNA19692_R0	gene_445
Cbir_RNA21839_R0	gene_445
Mpha_RNA515_R0	gene_446
Mpha_RNA516_R0	gene_447
Sinv_RNA15081_R1	gene_447
Dqua_RNA11255_R1	gene_448
Dqua_RNA9554_R2	gene_449
Cbir_RNA15504_R0	gene_450
Mpha_RNA517_R0	gene_451
Mpha_RNA523_R0	gene_452
Mpha_RNA522_R0	gene_453
Mpha_RNA524_R0	gene_454
Mpha_RNA525_R0	gene_454
Dmel_RNA27144_R0	gene_454
Mpha_RNA519_R0	gene_455
Mpha_RNA521_R0	gene_455
Mpha_RNA527_R0	gene_456
Lhum_RNA18560_R0	gene_456
Mpha_RNA528_R0	gene_457
Mpha_RNA6042_R7	gene_457
Mpha_RNA529_R0	gene_458
Mpha_RNA533_R0	gene_459
Mpha_RNA534_R0	gene_460
Mpha_RNA532_R0	gene_461
Mpha_RNA1769_R4	gene_462
Mpha_RNA536_R0	gene_463
Mpha_RNA538_R0	gene_464
Mpha_RNA541_R0	gene_465
Mpha_RNA548_R0	gene_466
Dqua_RNA7233_R0	gene_466
Mpha_RNA551_R0	gene_467
Mpha_RNA550_R0	gene_467
Mpha_RNA547_R0	gene_468
Nvit_RNA20082_R0	gene_468
Mpha_RNA552_R0	gene_469
Mpha_RNA553_R0	gene_470
Mpha_RNA554_R0	gene_471
Mpha_RNA555_R0	gene_472
Mpha_RNA556_R0	gene_473
Mpha_RNA558_R0	gene_474
Sinv_RNA21543_R1	gene_475
Mpha_RNA559_R0	gene_476
Aech_RNA8128_R0	gene_476
Mpha_RNA562_R0	gene_477
Mpha_RNA561_R0	gene_478
Mpha_RNA566_R0	gene_479
Mpha_RNA568_R0	gene_480
Lhum_RNA11784_R0	gene_480
Lhum_RNA17268_R1	gene_480
Aech_RNA5301_R1	gene_480
Dqua_RNA22554_R1	gene_480
Aech_RNA5304_R3	gene_480
Aech_RNA844_R0	gene_481
Mpha_RNA567_R0	gene_482
Mpha_RNA570_R0	gene_483
Amel_RNA8898_R0	gene_483
Mpha_RNA573_R0	gene_484
Aech_RNA4402_R0	gene_484
Sinv_RNA2140_R0	gene_484
Cbir_RNA11353_R1	gene_485
Mpha_RNA575_R0	gene_486
Dmel_RNA21140_R2	gene_486
Mpha_RNA576_R0	gene_487
Cbir_RNA9863_R0	gene_487
Mpha_RNA578_R0	gene_488
Sinv_RNA21297_R0	gene_488
Sinv_RNA19669_R0	gene_488
Dqua_RNA15863_R2	gene_488
Mpha_RNA581_R0	gene_489
Dmel_RNA32051_R0	gene_489
Mpha_RNA584_R0	gene_490
Mpha_RNA583_R0	gene_490
Mpha_RNA585_R0	gene_491
Nvit_RNA11693_R0	gene_491
Mpha_RNA591_R0	gene_492
Mpha_RNA598_R0	gene_493
Mpha_RNA9779_R2	gene_494
Dmel_RNA11008_R8	gene_495
Mpha_RNA600_R0	gene_496
Mpha_RNA602_R0	gene_497
Mpha_RNA601_R0	gene_497
Lhum_RNA21471_R0	gene_497
Nvit_RNA23781_R0	gene_497
Dmel_RNA7654_R0	gene_497
Mpha_RNA603_R0	gene_498
Mpha_RNA605_R0	gene_499
Sinv_RNA4699_R0	gene_499
Mpha_RNA606_R0	gene_500
Mpha_RNA607_R0	gene_501
Mpha_RNA614_R0	gene_502
Mpha_RNA604_R0	gene_503
Sinv_RNA4700_R0	gene_503
Mpha_RNA609_R0	gene_504
Mpha_RNA610_R0	gene_504
Sinv_RNA4692_R0	gene_504
Mpha_RNA611_R0	gene_505
Mpha_RNA615_R0	gene_506
Mpha_RNA616_R0	gene_506
Mpha_RNA617_R0	gene_506
Mpha_RNA618_R0	gene_506
Mpha_RNA620_R0	gene_506
Mpha_RNA619_R0	gene_506
Cbir_RNA6583_R0	gene_506
Amel_RNA21065_R0	gene_506
Dmel_RNA25371_R0	gene_506
Mpha_RNA16538_R4	gene_506
Sinv_RNA17377_R3	gene_507
Cbir_RNA2449_R0	gene_508
Nvit_RNA25545_R0	gene_508
Lhum_RNA23846_R8	gene_509
Mpha_RNA625_R0	gene_510
Aech_RNA7106_R0	gene_511
Mpha_RNA628_R0	gene_512
Mpha_RNA627_R0	gene_513
Sinv_RNA9642_R0	gene_514
Aech_RNA20677_R0	gene_515
Mpha_RNA630_R0	gene_516
Mpha_RNA631_R0	gene_517
Cbir_RNA1268_R0	gene_518
Mpha_RNA636_R0	gene_519
Dmel_RNA29320_R0	gene_519
Mpha_RNA637_R0	gene_520
Aech_RNA2705_R0	gene_520
Mpha_RNA644_R0	gene_521
Mpha_RNA647_R0	gene_522
Mpha_RNA638_R0	gene_523
Mpha_RNA641_R0	gene_524
Aech_RNA8189_R0	gene_524
Nvit_RNA7243_R0	gene_524
Mpha_RNA643_R0	gene_525
Mpha_RNA645_R0	gene_526
Nvit_RNA17692_R0	gene_526
Mpha_RNA646_R0	gene_527
Aech_RNA8197_R0	gene_527
Amel_RNA21039_R0	gene_527
Mpha_RNA650_R0	gene_528
Mpha_RNA648_R0	gene_528
Mpha_RNA653_R0	gene_528
Mpha_RNA652_R0	gene_528
Mpha_RNA649_R0	gene_528
Mpha_RNA651_R0	gene_528
Aech_RNA8205_R0	gene_528
Dqua_RNA5958_R0	gene_528
Lhum_RNA16311_R0	gene_528
Lhum_RNA16309_R0	gene_528
Mpha_RNA655_R0	gene_529
Mpha_RNA657_R0	gene_530
Sinv_RNA10991_R0	gene_530
Mpha_RNA658_R0	gene_531
Mpha_RNA654_R0	gene_532
Mpha_RNA656_R0	gene_533
Mpha_RNA660_R0	gene_534
Cbir_RNA9709_R5	gene_535
Mpha_RNA663_R0	gene_536
Cbir_RNA12056_R1	gene_536
Mpha_RNA9867_R4	gene_537
Sinv_RNA15453_R2	gene_537
Mpha_RNA22562_R5	gene_537
Sinv_RNA14376_R4	gene_537
Dqua_RNA23456_R4	gene_537
