Cbir_RNA3_R0	gene_0
Cbir_RNA437_R0	gene_249
Lhum_RNA12411_R0	gene_250
Dqua_RNA3204_R0	gene_251
Lhum_RNA12414_R0	gene_252
Cbir_RNA441_R0	gene_252
Sinv_RNA12556_R0	gene_252
Cbir_RNA458_R0	gene_253
Cbir_RNA463_R0	gene_254
Aech_RNA9809_R0	gene_255
Cbir_RNA1905_R1	gene_256
Cbir_RNA6997_R3	gene_257
Dqua_RNA9696_R0	gene_258
Cbir_RNA6925_R9	gene_259
Sinv_RNA21321_R0	gene_260
Sinv_RNA19025_R0	gene_261
Lhum_RNA44_R0	gene_262
Lhum_RNA7096_R5	gene_263
Cbir_RNA11782_R3	gene_264
Cbir_RNA180_R0	gene_265
Cbir_RNA181_R0	gene_266
Cbir_RNA182_R0	gene_266
Cbir_RNA186_R0	gene_267
Lhum_RNA7107_R0	gene_267
Cbir_RNA190_R0	gene_268
Nvit_RNA671_R0	gene_269
Sinv_RNA5408_R0	gene_269
Cbir_RNA199_R0	gene_270
Cbir_RNA216_R0	gene_271
Dmel_RNA32179_R0	gene_271
Cbir_RNA227_R0	gene_272
Cbir_RNA228_R0	gene_273
Aech_RNA18846_R0	gene_274
Mpha_RNA14377_R0	gene_274
Cbir_RNA238_R0	gene_275
Cbir_RNA244_R0	gene_276
Dmel_RNA2788_R0	gene_276
Lhum_RNA5061_R0	gene_277
Cbir_RNA255_R0	gene_278
Mpha_RNA1780_R0	gene_278
Cbir_RNA260_R0	gene_279
Cbir_RNA264_R0	gene_279
Dqua_RNA4534_R0	gene_279
Aech_RNA20720_R0	gene_279
Aech_RNA20719_R0	gene_279
Mpha_RNA17562_R1	gene_279
Amel_RNA28715_R8	gene_279
Cbir_RNA265_R0	gene_280
Cbir_RNA266_R0	gene_280
Cbir_RNA273_R0	gene_281
Cbir_RNA274_R0	gene_281
Aech_RNA7565_R2	gene_282
Cbir_RNA276_R0	gene_283
Cbir_RNA277_R0	gene_284
Nvit_RNA9410_R0	gene_284
Mpha_RNA11381_R1	gene_284
Cbir_RNA284_R0	gene_285
Mpha_RNA20582_R0	gene_285
Amel_RNA28005_R0	gene_285
Lhum_RNA10584_R0	gene_285
Cbir_RNA287_R0	gene_286
Cbir_RNA295_R0	gene_287
Cbir_RNA307_R0	gene_288
Cbir_RNA309_R0	gene_289
Cbir_RNA313_R0	gene_290
Cbir_RNA315_R0	gene_291
Cbir_RNA319_R0	gene_292
Mpha_RNA17265_R0	gene_292
Cbir_RNA321_R0	gene_293
Cbir_RNA325_R0	gene_294
Sinv_RNA20261_R2	gene_294
Sinv_RNA2726_R3	gene_294
Cbir_RNA326_R0	gene_295
Cbir_RNA328_R0	gene_295
Sinv_RNA15814_R0	gene_296
Cbir_RNA332_R0	gene_297
Dmel_RNA16327_R6	gene_298
Cbir_RNA344_R0	gene_299
Dmel_RNA7997_R0	gene_299
Cbir_RNA345_R0	gene_300
Cbir_RNA350_R0	gene_301
Cbir_RNA351_R0	gene_302
Cbir_RNA353_R0	gene_303
Aech_RNA1853_R0	gene_303
Amel_RNA20310_R0	gene_303
Cbir_RNA358_R0	gene_304
Cbir_RNA360_R0	gene_304
Lhum_RNA19642_R0	gene_304
Cbir_RNA367_R0	gene_305
Cbir_RNA371_R0	gene_306
Cbir_RNA374_R0	gene_307
Cbir_RNA376_R0	gene_307
Dqua_RNA8125_R0	gene_307
Dqua_RNA8126_R0	gene_307
Amel_RNA20580_R0	gene_307
Nvit_RNA21549_R0	gene_307
Cbir_RNA383_R0	gene_308
Cbir_RNA385_R0	gene_309
Cbir_RNA386_R0	gene_309
Lhum_RNA19659_R0	gene_309
Dqua_RNA8133_R0	gene_309
Cbir_RNA395_R0	gene_310
Cbir_RNA2465_R3	gene_311
Cbir_RNA405_R0	gene_312
Sinv_RNA1303_R0	gene_312
Dmel_RNA14260_R9	gene_312
Mpha_RNA13611_R2	gene_312
Cbir_RNA406_R0	gene_313
Cbir_RNA407_R0	gene_314
Cbir_RNA408_R0	gene_315
Cbir_RNA409_R0	gene_316
Cbir_RNA410_R0	gene_317
Aech_RNA19667_R0	gene_317
Cbir_RNA413_R0	gene_318
Cbir_RNA414_R0	gene_318
Cbir_RNA416_R0	gene_319
Sinv_RNA1314_R0	gene_320
Aech_RNA19672_R0	gene_321
Cbir_RNA423_R0	gene_322
Nvit_RNA5776_R0	gene_322
Cbir_RNA425_R0	gene_323
Cbir_RNA427_R0	gene_323
Lhum_RNA12403_R0	gene_323
Sinv_RNA17503_R0	gene_323
Cbir_RNA430_R0	gene_324
Cbir_RNA431_R0	gene_325
Dmel_RNA28728_R0	gene_325
Cbir_RNA434_R0	gene_326
Cbir_RNA449_R0	gene_327
Cbir_RNA442_R0	gene_327
Cbir_RNA451_R0	gene_328
Cbir_RNA454_R0	gene_329
Cbir_RNA455_R0	gene_330
Cbir_RNA457_R0	gene_330
Cbir_RNA460_R0	gene_331
Dmel_RNA20729_R0	gene_332
Cbir_RNA461_R0	gene_333
Cbir_RNA25184_R4	gene_334
Mpha_RNA3829_R1	gene_335
Nvit_RNA25679_R0	gene_336
Sinv_RNA19834_R2	gene_337
Dqua_RNA2454_R0	gene_338
Cbir_RNA25184_R3	gene_339
Cbir_RNA465_R0	gene_340
Cbir_RNA466_R0	gene_341
Cbir_RNA470_R0	gene_342
Cbir_RNA472_R0	gene_343
Cbir_RNA476_R0	gene_344
Cbir_RNA480_R0	gene_345
Cbir_RNA481_R0	gene_346
Cbir_RNA483_R0	gene_347
Lhum_RNA22538_R0	gene_347
Cbir_RNA485_R0	gene_348
Nvit_RNA3784_R0	gene_349
Cbir_RNA492_R0	gene_350
Cbir_RNA501_R0	gene_351
Cbir_RNA494_R0	gene_352
Cbir_RNA506_R0	gene_353
Cbir_RNA517_R0	gene_354
Cbir_RNA519_R0	gene_355
Cbir_RNA520_R0	gene_356
Cbir_RNA532_R0	gene_357
Cbir_RNA543_R0	gene_358
Amel_RNA14201_R0	gene_359
Aech_RNA12403_R0	gene_359
Cbir_RNA551_R0	gene_360
Lhum_RNA21733_R0	gene_360
Cbir_RNA553_R0	gene_361
Amel_RNA14188_R0	gene_362
Cbir_RNA559_R0	gene_362
Cbir_RNA558_R0	gene_362
Cbir_RNA561_R0	gene_363
Cbir_RNA563_R0	gene_364
Cbir_RNA565_R0	gene_365
Cbir_RNA566_R0	gene_366
Amel_RNA28222_R0	gene_366
Amel_RNA28223_R0	gene_366
Cbir_RNA568_R0	gene_367
Mpha_RNA14498_R0	gene_367
Cbir_RNA570_R0	gene_368
Cbir_RNA574_R0	gene_369
Cbir_RNA573_R0	gene_369
Dqua_RNA19636_R0	gene_369
Nvit_RNA6031_R0	gene_369
Aech_RNA9114_R0	gene_370
Cbir_RNA578_R0	gene_371
Mpha_RNA10059_R8	gene_371
Cbir_RNA579_R0	gene_372
Cbir_RNA584_R0	gene_373
Sinv_RNA10033_R0	gene_373
Dmel_RNA5396_R0	gene_373
Cbir_RNA585_R0	gene_374
Sinv_RNA16045_R7	gene_375
Cbir_RNA588_R0	gene_376
Sinv_RNA10040_R0	gene_376
Sinv_RNA3107_R0	gene_376
Amel_RNA21898_R0	gene_376
Amel_RNA21898_R1	gene_376
Mpha_RNA10216_R0	gene_376
Sinv_RNA17764_R3	gene_376
Sinv_RNA21586_R0	gene_376
Mpha_RNA6469_R1	gene_376
Sinv_RNA10037_R0	gene_376
Mpha_RNA1794_R0	gene_376
Mpha_RNA61_R3	gene_376
Cbir_RNA589_R0	gene_377
Cbir_RNA596_R0	gene_378
Cbir_RNA601_R0	gene_379
Cbir_RNA608_R0	gene_380
Nvit_RNA22539_R0	gene_380
Nvit_RNA22530_R0	gene_380
Cbir_RNA610_R0	gene_381
Aech_RNA17479_R0	gene_382
Cbir_RNA616_R0	gene_383
Cbir_RNA618_R0	gene_383
Aech_RNA17459_R0	gene_384
Cbir_RNA629_R0	gene_385
Cbir_RNA630_R0	gene_386
Cbir_RNA636_R0	gene_387
Mpha_RNA17970_R0	gene_388
Cbir_RNA640_R0	gene_389
Dqua_RNA6425_R6	gene_390
Cbir_RNA653_R0	gene_391
Cbir_RNA656_R0	gene_392
Aech_RNA748_R0	gene_392
Cbir_RNA669_R0	gene_393
Cbir_RNA675_R0	gene_394
Aech_RNA725_R0	gene_394
Nvit_RNA23040_R0	gene_394
Cbir_RNA679_R0	gene_395
Cbir_RNA683_R0	gene_396
Cbir_RNA686_R0	gene_397
Cbir_RNA692_R0	gene_398
Lhum_RNA2100_R0	gene_398
Cbir_RNA693_R0	gene_399
Cbir_RNA694_R0	gene_400
Cbir_RNA697_R0	gene_401
Cbir_RNA702_R0	gene_402
Lhum_RNA2088_R0	gene_403
Cbir_RNA704_R0	gene_403
Sinv_RNA15662_R0	gene_403
Nvit_RNA4881_R0	gene_403
Cbir_RNA703_R0	gene_403
Cbir_RNA706_R0	gene_404
Cbir_RNA707_R0	gene_404
Cbir_RNA713_R0	gene_405
Cbir_RNA714_R0	gene_405
Aech_RNA696_R0	gene_405
Cbir_RNA722_R0	gene_406
Sinv_RNA18950_R0	gene_406
Sinv_RNA15640_R0	gene_406
Cbir_RNA727_R0	gene_407
Cbir_RNA729_R0	gene_408
Dqua_RNA82_R0	gene_409
Cbir_RNA731_R0	gene_410
Lhum_RNA16978_R0	gene_410
Sinv_RNA1633_R0	gene_410
Cbir_RNA732_R0	gene_411
Cbir_RNA734_R0	gene_412
Cbir_RNA740_R0	gene_413
Cbir_RNA744_R0	gene_414
Cbir_RNA742_R0	gene_414
Cbir_RNA743_R0	gene_414
Cbir_RNA747_R0	gene_415
Aech_RNA20001_R0	gene_415
Dqua_RNA5723_R0	gene_415
Aech_RNA19995_R0	gene_416
Dmel_RNA34529_R1	gene_416
Dqua_RNA13409_R2	gene_416
Aech_RNA1112_R0	gene_417
Sinv_RNA6727_R0	gene_417
Cbir_RNA756_R0	gene_418
Cbir_RNA755_R0	gene_419
Cbir_RNA757_R0	gene_420
Cbir_RNA763_R0	gene_421
Cbir_RNA766_R0	gene_422
Cbir_RNA767_R0	gene_422
Cbir_RNA765_R0	gene_422
Sinv_RNA16600_R0	gene_422
Dmel_RNA900_R0	gene_423
Cbir_RNA769_R0	gene_424
Dmel_RNA28317_R0	gene_424
Cbir_RNA774_R0	gene_425
Cbir_RNA780_R0	gene_426
Cbir_RNA786_R0	gene_427
Sinv_RNA7920_R0	gene_427
Sinv_RNA7917_R0	gene_427
Sinv_RNA19244_R0	gene_427
Lhum_RNA16328_R1	gene_428
Cbir_RNA792_R0	gene_429
Lhum_RNA16336_R0	gene_429
Cbir_RNA796_R0	gene_430
Cbir_RNA468_R0	gene_431
Amel_RNA475_R0	gene_431
Cbir_RNA471_R0	gene_432
Lhum_RNA5180_R0	gene_432
Mpha_RNA12387_R0	gene_432
Cbir_RNA474_R0	gene_433
Cbir_RNA479_R0	gene_434
Amel_RNA5959_R0	gene_434
Dmel_RNA7422_R0	gene_434
Cbir_RNA482_R0	gene_435
Cbir_RNA484_R0	gene_436
Cbir_RNA488_R0	gene_437
Lhum_RNA22531_R0	gene_437
Mpha_RNA1666_R0	gene_437
Amel_RNA6637_R0	gene_437
Lhum_RNA22524_R0	gene_438
Mpha_RNA22204_R0	gene_438
Sinv_RNA1952_R0	gene_438
Dmel_RNA18478_R1	gene_438
Cbir_RNA493_R0	gene_439
Cbir_RNA495_R0	gene_440
Cbir_RNA496_R0	gene_441
Lhum_RNA22444_R0	gene_441
Dmel_RNA19856_R0	gene_441
Cbir_RNA497_R0	gene_442
Lhum_RNA22450_R0	gene_443
Dqua_RNA23660_R0	gene_443
Cbir_RNA508_R0	gene_444
Amel_RNA6774_R0	gene_444
Cbir_RNA513_R0	gene_445
Cbir_RNA514_R0	gene_446
Cbir_RNA515_R0	gene_446
Cbir_RNA516_R0	gene_447
Sinv_RNA6102_R0	gene_447
Cbir_RNA518_R0	gene_448
Lhum_RNA22462_R0	gene_448
Cbir_RNA521_R0	gene_449
Mpha_RNA10789_R0	gene_449
Cbir_RNA526_R0	gene_450
Sinv_RNA16967_R0	gene_451
Cbir_RNA531_R0	gene_452
Cbir_RNA538_R0	gene_453
Cbir_RNA536_R0	gene_454
Nvit_RNA4409_R0	gene_454
Cbir_RNA544_R0	gene_455
Lhum_RNA16906_R0	gene_455
Aech_RNA751_R0	gene_455
Cbir_RNA552_R0	gene_456
Cbir_RNA560_R0	gene_457
Dqua_RNA19652_R0	gene_457
Cbir_RNA562_R0	gene_458
Nvit_RNA4994_R0	gene_458
Cbir_RNA567_R0	gene_459
Nvit_RNA1414_R0	gene_459
Cbir_RNA569_R0	gene_460
Cbir_RNA571_R1	gene_461
Cbir_RNA576_R0	gene_462
Lhum_RNA5913_R0	gene_462
Dqua_RNA19633_R0	gene_463
Cbir_RNA587_R0	gene_464
Amel_RNA21896_R0	gene_465
Cbir_RNA593_R0	gene_466
Cbir_RNA21581_R1	gene_466
Cbir_RNA598_R0	gene_467
Sinv_RNA8125_R0	gene_467
Cbir_RNA599_R0	gene_468
Cbir_RNA600_R0	gene_468
Dmel_RNA5034_R0	gene_468
Cbir_RNA605_R0	gene_469
Cbir_RNA609_R0	gene_470
Amel_RNA25468_R0	gene_470
Cbir_RNA611_R0	gene_471
Dqua_RNA14106_R0	gene_472
Cbir_RNA613_R0	gene_472
Dqua_RNA22458_R1	gene_472
Cbir_RNA619_R0	gene_473
Amel_RNA25480_R0	gene_473
Cbir_RNA620_R0	gene_474
Mpha_RNA8088_R0	gene_475
Cbir_RNA633_R0	gene_476
Lhum_RNA17917_R0	gene_476
Dqua_RNA12202_R0	gene_476
Cbir_RNA639_R0	gene_477
Cbir_RNA637_R0	gene_477
Cbir_RNA638_R0	gene_477
Dmel_RNA28759_R0	gene_477
Cbir_RNA642_R0	gene_478
Cbir_RNA641_R0	gene_478
Cbir_RNA643_R0	gene_479
Cbir_RNA664_R0	gene_480
Cbir_RNA676_R0	gene_481
Cbir_RNA682_R0	gene_482
Dqua_RNA544_R0	gene_482
Cbir_RNA684_R0	gene_483
Cbir_RNA689_R0	gene_484
Cbir_RNA690_R0	gene_484
Cbir_RNA695_R0	gene_485
Cbir_RNA696_R0	gene_485
Mpha_RNA15436_R0	gene_485
Dmel_RNA104_R0	gene_485
Amel_RNA28516_R1	gene_485
Cbir_RNA698_R0	gene_486
Cbir_RNA705_R0	gene_487
Cbir_RNA709_R0	gene_488
Cbir_RNA711_R0	gene_488
Cbir_RNA712_R0	gene_488
Mpha_RNA22136_R0	gene_488
Dqua_RNA19264_R0	gene_488
Lhum_RNA22760_R0	gene_489
Cbir_RNA718_R0	gene_490
Cbir_RNA721_R0	gene_491
Lhum_RNA13662_R0	gene_492
Cbir_RNA728_R0	gene_493
Cbir_RNA730_R0	gene_494
Cbir_RNA733_R0	gene_495
Cbir_RNA736_R0	gene_496
Cbir_RNA737_R0	gene_496
Dmel_RNA25976_R0	gene_496
Mpha_RNA13753_R0	gene_496
Cbir_RNA738_R0	gene_497
Sinv_RNA1623_R0	gene_497
Cbir_RNA746_R0	gene_498
Dmel_RNA6424_R9	gene_499
Cbir_RNA758_R0	gene_500
Lhum_RNA3823_R0	gene_500
Sinv_RNA6733_R0	gene_500
Dqua_RNA1887_R0	gene_500
Cbir_RNA764_R0	gene_501
