Dqua_RNA0_R0	gene_0
Dqua_RNA41_R0	gene_53
Dqua_RNA41_R1	gene_54
Cbir_RNA4190_R4	gene_55
Dqua_RNA3353_R8	gene_56
Sinv_RNA21287_R3	gene_57
Dqua_RNA49_R1	gene_58
Cbir_RNA19_R6	gene_59
Dqua_RNA14954_R2	gene_60
Sinv_RNA15525_R7	gene_61
Aech_RNA3680_R7	gene_62
Sinv_RNA2289_R1	gene_63
Aech_RNA3265_R0	gene_64
Dqua_RNA18314_R5	gene_65
Dqua_RNA2623_R8	gene_66
Nvit_RNA15146_R7	gene_67
Mpha_RNA855_R2	gene_68
Amel_RNA28674_R4	gene_69
Sinv_RNA18635_R4	gene_70
Cbir_RNA19502_R7	gene_71
Aech_RNA10264_R3	gene_72
Aech_RNA3247_R8	gene_73
Dqua_RNA14964_R3	gene_74
Nvit_RNA5765_R0	gene_75
Dqua_RNA21024_R8	gene_76
Sinv_RNA13070_R0	gene_77
Nvit_RNA16008_R0	gene_78
Dqua_RNA49_R0	gene_79
Lhum_RNA21958_R0	gene_80
Sinv_RNA19199_R1	gene_81
Dqua_RNA56_R0	gene_82
Dqua_RNA61_R0	gene_83
Mpha_RNA13753_R0	gene_83
Dqua_RNA67_R0	gene_84
Dqua_RNA73_R0	gene_85
Dqua_RNA76_R0	gene_85
Amel_RNA21027_R0	gene_85
Dqua_RNA84_R0	gene_86
Dqua_RNA87_R0	gene_87
Dqua_RNA88_R0	gene_88
Lhum_RNA8512_R0	gene_88
Dqua_RNA91_R0	gene_89
Dqua_RNA93_R0	gene_90
Lhum_RNA8503_R0	gene_90
Nvit_RNA15940_R0	gene_90
Dqua_RNA94_R0	gene_91
Aech_RNA2394_R0	gene_91
Dqua_RNA99_R0	gene_92
Dqua_RNA102_R0	gene_93
Mpha_RNA12101_R0	gene_93
Mpha_RNA17732_R0	gene_94
Sinv_RNA4935_R0	gene_94
Mpha_RNA21875_R1	gene_95
Sinv_RNA16403_R1	gene_95
Nvit_RNA15042_R1	gene_95
Lhum_RNA1291_R0	gene_96
Dqua_RNA109_R0	gene_97
Dqua_RNA108_R0	gene_97
Dqua_RNA113_R0	gene_98
Dqua_RNA114_R0	gene_98
Cbir_RNA15933_R0	gene_98
Sinv_RNA2153_R0	gene_98
Dqua_RNA51_R0	gene_99
Dqua_RNA63_R0	gene_100
Dqua_RNA71_R0	gene_101
Dqua_RNA72_R0	gene_102
Sinv_RNA1633_R0	gene_102
Dqua_RNA82_R0	gene_103
Dqua_RNA83_R0	gene_104
Dqua_RNA85_R0	gene_105
Dqua_RNA90_R0	gene_106
Amel_RNA475_R0	gene_106
Dqua_RNA92_R0	gene_107
Nvit_RNA12285_R0	gene_107
Dqua_RNA96_R0	gene_108
Dqua_RNA98_R0	gene_108
Dqua_RNA100_R0	gene_109
Amel_RNA20816_R0	gene_110
Dmel_RNA10250_R4	gene_110
Dqua_RNA107_R0	gene_111
Dqua_RNA112_R0	gene_112
Lhum_RNA1296_R0	gene_112
Mpha_RNA3935_R7	gene_112
Cbir_RNA15934_R1	gene_113
Dqua_RNA2181_R5	gene_114
Dqua_RNA23254_R7	gene_115
Cbir_RNA16918_R0	gene_116
Sinv_RNA18946_R1	gene_117
Sinv_RNA21654_R7	gene_118
Dqua_RNA117_R0	gene_119
Dqua_RNA121_R0	gene_120
Dmel_RNA28239_R1	gene_120
Aech_RNA17814_R9	gene_121
Aech_RNA21499_R0	gene_122
Dqua_RNA130_R0	gene_123
Dqua_RNA131_R0	gene_123
Cbir_RNA7106_R0	gene_123
Mpha_RNA5666_R0	gene_123
Mpha_RNA5665_R0	gene_123
Dqua_RNA132_R0	gene_124
Mpha_RNA20805_R0	gene_125
Dqua_RNA147_R0	gene_126
Dqua_RNA148_R0	gene_126
Nvit_RNA16889_R0	gene_127
Dqua_RNA153_R0	gene_127
Dqua_RNA154_R0	gene_127
Dqua_RNA157_R0	gene_127
Dqua_RNA158_R0	gene_127
Dqua_RNA150_R0	gene_127
Dqua_RNA122_R0	gene_128
Dqua_RNA127_R0	gene_129
Dqua_RNA129_R0	gene_130
Amel_RNA8548_R1	gene_130
Dqua_RNA133_R0	gene_131
Dqua_RNA144_R0	gene_132
Dqua_RNA149_R0	gene_133
Cbir_RNA22696_R2	gene_134
Cbir_RNA22700_R9	gene_135
Lhum_RNA12749_R2	gene_136
Sinv_RNA20367_R3	gene_137
Lhum_RNA411_R3	gene_138
Sinv_RNA2154_R4	gene_139
Cbir_RNA14152_R5	gene_140
Dqua_RNA159_R0	gene_141
Dqua_RNA164_R0	gene_142
Dqua_RNA168_R0	gene_143
Dqua_RNA173_R0	gene_144
Dmel_RNA27581_R1	gene_145
Dmel_RNA20706_R0	gene_146
Dmel_RNA11096_R1	gene_147
Dqua_RNA161_R0	gene_148
Dqua_RNA160_R0	gene_149
Dqua_RNA166_R0	gene_150
Dqua_RNA167_R0	gene_151
Dqua_RNA169_R0	gene_152
Dqua_RNA170_R0	gene_153
Dqua_RNA174_R0	gene_154
Aech_RNA17575_R0	gene_154
Dmel_RNA16636_R0	gene_154
Dqua_RNA179_R0	gene_155
Dqua_RNA177_R0	gene_156
Dqua_RNA178_R0	gene_156
Dqua_RNA175_R0	gene_157
Dqua_RNA184_R0	gene_158
Dqua_RNA181_R0	gene_158
Nvit_RNA9241_R0	gene_158
Aech_RNA17571_R0	gene_158
Nvit_RNA9244_R0	gene_158
Dmel_RNA16446_R0	gene_158
Dqua_RNA180_R0	gene_159
Dqua_RNA186_R0	gene_160
Dmel_RNA10431_R6	gene_160
Aech_RNA10264_R2	gene_161
Dqua_RNA5155_R5	gene_162
Aech_RNA7757_R4	gene_163
Dqua_RNA23261_R7	gene_164
Lhum_RNA2549_R6	gene_165
Dqua_RNA189_R0	gene_166
Dqua_RNA190_R0	gene_167
Aech_RNA17384_R1	gene_168
Nvit_RNA5426_R0	gene_169
Dqua_RNA20673_R8	gene_170
Dqua_RNA23271_R6	gene_171
Dqua_RNA191_R0	gene_172
Mpha_RNA22316_R0	gene_173
Dqua_RNA15007_R1	gene_174
Dqua_RNA192_R0	gene_175
Dqua_RNA8097_R5	gene_176
Dmel_RNA7763_R1	gene_177
Dqua_RNA23261_R2	gene_178
Mpha_RNA20537_R0	gene_179
Cbir_RNA22709_R9	gene_180
Lhum_RNA23911_R6	gene_181
Dqua_RNA193_R0	gene_182
Dqua_RNA195_R0	gene_182
Dqua_RNA194_R0	gene_182
Cbir_RNA8215_R0	gene_182
Amel_RNA15572_R0	gene_183
Dqua_RNA203_R0	gene_184
Dqua_RNA208_R0	gene_185
Aech_RNA19295_R0	gene_185
Dqua_RNA214_R0	gene_186
Amel_RNA13891_R0	gene_186
Dqua_RNA216_R0	gene_187
Cbir_RNA8151_R0	gene_188
Sinv_RNA10689_R0	gene_189
Dqua_RNA224_R0	gene_190
Aech_RNA11435_R0	gene_190
Dqua_RNA230_R0	gene_191
Aech_RNA11432_R0	gene_191
Mpha_RNA13525_R0	gene_191
Mpha_RNA17733_R0	gene_191
Sinv_RNA18039_R0	gene_191
Sinv_RNA2589_R1	gene_191
Mpha_RNA1194_R0	gene_191
Sinv_RNA9571_R0	gene_191
Dqua_RNA238_R0	gene_192
Dqua_RNA239_R0	gene_193
Dqua_RNA253_R0	gene_194
Dqua_RNA257_R0	gene_195
Dqua_RNA258_R0	gene_196
Dqua_RNA264_R0	gene_197
Dqua_RNA267_R0	gene_198
Dqua_RNA275_R0	gene_199
Dqua_RNA277_R0	gene_200
Dqua_RNA278_R0	gene_201
Dqua_RNA288_R0	gene_202
Dqua_RNA289_R0	gene_202
Cbir_RNA8213_R0	gene_203
Dqua_RNA197_R0	gene_204
Dqua_RNA200_R0	gene_205
Sinv_RNA10836_R5	gene_206
Dqua_RNA206_R0	gene_207
Dqua_RNA215_R0	gene_208
Dqua_RNA222_R0	gene_209
Dqua_RNA226_R0	gene_210
Dqua_RNA227_R0	gene_211
Dqua_RNA228_R0	gene_211
Dqua_RNA1123_R5	gene_212
Dqua_RNA232_R0	gene_213
Dqua_RNA233_R0	gene_214
Dqua_RNA235_R0	gene_215
Dmel_RNA9207_R3	gene_215
Dqua_RNA236_R0	gene_216
Aech_RNA8121_R0	gene_217
Nvit_RNA11721_R0	gene_217
Dqua_RNA248_R0	gene_218
Dqua_RNA255_R0	gene_219
Dqua_RNA256_R0	gene_219
Sinv_RNA10746_R0	gene_219
Dmel_RNA29566_R0	gene_219
Dqua_RNA259_R0	gene_220
Dmel_RNA1749_R0	gene_220
Dmel_RNA1748_R0	gene_220
Lhum_RNA9330_R0	gene_220
Dqua_RNA263_R0	gene_221
Dqua_RNA265_R0	gene_222
Dqua_RNA268_R0	gene_223
Dqua_RNA270_R0	gene_224
Dqua_RNA271_R0	gene_224
Dqua_RNA274_R0	gene_225
Dqua_RNA276_R0	gene_226
Nvit_RNA8588_R0	gene_226
Dqua_RNA279_R0	gene_227
Mpha_RNA9066_R0	gene_227
Nvit_RNA1156_R0	gene_227
Dqua_RNA282_R0	gene_228
Dqua_RNA291_R0	gene_229
Aech_RNA14458_R2	gene_230
Sinv_RNA19228_R3	gene_231
Dqua_RNA5071_R6	gene_232
Dqua_RNA297_R0	gene_233
Dqua_RNA296_R0	gene_234
Dqua_RNA300_R0	gene_235
Cbir_RNA19329_R0	gene_235
Aech_RNA19600_R9	gene_236
Dqua_RNA294_R0	gene_237
Mpha_RNA9793_R0	gene_238
Mpha_RNA17752_R0	gene_239
Dqua_RNA19364_R6	gene_240
Mpha_RNA995_R2	gene_241
Dqua_RNA19818_R1	gene_242
Dqua_RNA15007_R5	gene_243
Lhum_RNA9509_R0	gene_244
Dqua_RNA3998_R5	gene_245
Aech_RNA3236_R3	gene_246
Dqua_RNA306_R0	gene_247
Mpha_RNA6658_R1	gene_248
Dmel_RNA6819_R2	gene_249
Dqua_RNA1474_R0	gene_250
Dqua_RNA303_R0	gene_251
Dqua_RNA305_R0	gene_251
Mpha_RNA22971_R0	gene_251
Aech_RNA3549_R6	gene_252
Dqua_RNA19818_R6	gene_253
Dqua_RNA310_R0	gene_254
Dqua_RNA317_R0	gene_255
Sinv_RNA5106_R0	gene_255
Dqua_RNA323_R0	gene_256
Dqua_RNA322_R0	gene_256
Dqua_RNA330_R0	gene_257
Cbir_RNA10734_R4	gene_258
Dqua_RNA346_R0	gene_259
Sinv_RNA14744_R0	gene_259
Mpha_RNA3839_R0	gene_259
Dqua_RNA354_R0	gene_260
Dqua_RNA359_R0	gene_261
Dqua_RNA360_R0	gene_262
Nvit_RNA3007_R0	gene_262
Dqua_RNA363_R0	gene_263
Dqua_RNA367_R0	gene_264
Dqua_RNA373_R0	gene_265
Dqua_RNA381_R0	gene_266
Dqua_RNA382_R0	gene_267
Dqua_RNA384_R0	gene_268
Dqua_RNA385_R0	gene_268
Dqua_RNA389_R0	gene_269
Dqua_RNA391_R0	gene_270
Dqua_RNA392_R0	gene_270
Dqua_RNA393_R0	gene_271
Dqua_RNA394_R0	gene_271
Dqua_RNA418_R0	gene_272
Aech_RNA2726_R1	gene_273
Dqua_RNA424_R0	gene_274
Cbir_RNA4778_R0	gene_275
Dqua_RNA429_R0	gene_276
Dqua_RNA431_R0	gene_277
Dqua_RNA18708_R1	gene_278
Dqua_RNA440_R0	gene_279
Dqua_RNA311_R0	gene_280
Dmel_RNA23649_R0	gene_280
Aech_RNA18213_R5	gene_281
Dqua_RNA3997_R3	gene_282
Dqua_RNA313_R0	gene_283
Mpha_RNA8048_R0	gene_283
Dqua_RNA315_R0	gene_284
Cbir_RNA5009_R0	gene_284
Dqua_RNA324_R0	gene_285
Sinv_RNA10348_R0	gene_285
Dmel_RNA14390_R5	gene_286
Dqua_RNA329_R0	gene_287
Mpha_RNA10327_R0	gene_287
Dqua_RNA334_R0	gene_288
Dmel_RNA14222_R0	gene_288
Dqua_RNA336_R0	gene_289
Mpha_RNA10704_R0	gene_290
Sinv_RNA4738_R0	gene_290
Mpha_RNA9368_R0	gene_291
Dmel_RNA11423_R0	gene_292
Dqua_RNA340_R0	gene_293
Dmel_RNA31091_R0	gene_293
Dqua_RNA341_R0	gene_294
Dqua_RNA342_R0	gene_295
Dqua_RNA343_R0	gene_295
Dqua_RNA345_R0	gene_295
Dmel_RNA26292_R0	gene_295
Dqua_RNA349_R0	gene_296
Dqua_RNA350_R0	gene_296
Dqua_RNA352_R0	gene_297
Dmel_RNA31509_R0	gene_297
Dqua_RNA356_R0	gene_298
Dqua_RNA355_R0	gene_298
Dqua_RNA358_R0	gene_299
Dqua_RNA361_R0	gene_300
Dqua_RNA366_R0	gene_301
Dqua_RNA368_R0	gene_302
Dqua_RNA370_R0	gene_303
Dqua_RNA372_R0	gene_304
Dqua_RNA374_R0	gene_305
Cbir_RNA1268_R0	gene_306
Nvit_RNA3902_R0	gene_306
Dqua_RNA1568_R1	gene_307
Dqua_RNA380_R0	gene_308
Cbir_RNA1270_R0	gene_308
Dqua_RNA383_R0	gene_309
Dqua_RNA387_R0	gene_310
Dqua_RNA397_R0	gene_311
Dqua_RNA398_R0	gene_311
Dqua_RNA396_R0	gene_311
Dqua_RNA400_R0	gene_311
Amel_RNA6386_R0	gene_311
Lhum_RNA14670_R0	gene_312
Dqua_RNA407_R0	gene_312
Dqua_RNA401_R0	gene_313
Dqua_RNA410_R0	gene_314
Amel_RNA6372_R0	gene_315
Mpha_RNA7465_R0	gene_316
Dqua_RNA426_R0	gene_317
Aech_RNA15862_R0	gene_317
Dqua_RNA438_R0	gene_318
Dqua_RNA436_R0	gene_319
Dqua_RNA439_R0	gene_320
Dqua_RNA450_R0	gene_321
Dqua_RNA456_R0	gene_322
Aech_RNA20345_R0	gene_322
Mpha_RNA7032_R0	gene_322
Cbir_RNA2917_R0	gene_322
Dqua_RNA441_R0	gene_323
Cbir_RNA7163_R0	gene_323
Dqua_RNA446_R0	gene_324
Dqua_RNA447_R0	gene_325
Dqua_RNA448_R0	gene_325
Dqua_RNA453_R0	gene_326
Dqua_RNA452_R0	gene_326
Cbir_RNA7055_R0	gene_326
Cbir_RNA7058_R0	gene_326
Dqua_RNA451_R0	gene_327
Mpha_RNA3961_R0	gene_327
Dqua_RNA455_R0	gene_328
Dqua_RNA459_R0	gene_329
Cbir_RNA12345_R0	gene_330
Cbir_RNA12345_R3	gene_331
Cbir_RNA12345_R5	gene_332
Sinv_RNA18503_R5	gene_333
Dqua_RNA461_R0	gene_334
Dmel_RNA24183_R1	gene_335
Aech_RNA2444_R1	gene_336
Dqua_RNA464_R0	gene_337
Dqua_RNA465_R0	gene_337
Dqua_RNA467_R0	gene_337
Cbir_RNA23758_R1	gene_337
Dmel_RNA31839_R0	gene_337
Dqua_RNA475_R0	gene_338
Dqua_RNA474_R0	gene_338
Amel_RNA2289_R0	gene_338
Dmel_RNA19839_R0	gene_338
Dqua_RNA476_R0	gene_339
Dqua_RNA477_R0	gene_340
Dmel_RNA15179_R0	gene_340
Dqua_RNA478_R0	gene_341
Sinv_RNA13247_R0	gene_341
Dqua_RNA479_R0	gene_342
Dqua_RNA483_R0	gene_343
Mpha_RNA21653_R0	gene_344
Mpha_RNA7685_R0	gene_345
Aech_RNA13312_R0	gene_346
Lhum_RNA18572_R0	gene_347
Mpha_RNA18752_R0	gene_347
Dqua_RNA502_R0	gene_348
Nvit_RNA10769_R0	gene_348
Dqua_RNA506_R0	gene_349
Lhum_RNA18500_R0	gene_349
Mpha_RNA17757_R0	gene_349
Dqua_RNA508_R0	gene_350
Dqua_RNA509_R0	gene_350
Cbir_RNA16360_R0	gene_350
Nvit_RNA12877_R0	gene_350
Dmel_RNA25363_R0	gene_350
Dqua_RNA512_R0	gene_351
Dqua_RNA525_R0	gene_352
Dqua_RNA526_R0	gene_352
Dmel_RNA14641_R1	gene_353
Dqua_RNA537_R0	gene_354
Dqua_RNA543_R0	gene_355
Sinv_RNA15679_R0	gene_355
Dqua_RNA544_R0	gene_355
Dmel_RNA26697_R0	gene_355
Dqua_RNA552_R0	gene_356
Dqua_RNA553_R0	gene_356
Dqua_RNA562_R0	gene_357
Dqua_RNA560_R0	gene_357
Dqua_RNA561_R0	gene_357
Aech_RNA739_R0	gene_357
Nvit_RNA23028_R0	gene_357
Lhum_RNA16920_R0	gene_358
Aech_RNA16876_R1	gene_359
Sinv_RNA13250_R0	gene_360
Cbir_RNA16648_R0	gene_361
Dqua_RNA480_R0	gene_362
Dqua_RNA481_R0	gene_363
Dqua_RNA482_R0	gene_364
Mpha_RNA2704_R0	gene_364
Nvit_RNA6272_R0	gene_364
Dqua_RNA497_R0	gene_365
Dmel_RNA24299_R0	gene_365
Dqua_RNA499_R0	gene_366
Dqua_RNA501_R0	gene_367
Amel_RNA27566_R0	gene_368
Dqua_RNA507_R0	gene_369
Sinv_RNA6743_R0	gene_369
Aech_RNA1079_R0	gene_369
Cbir_RNA16362_R0	gene_369
Dqua_RNA518_R0	gene_370
Cbir_RNA9536_R0	gene_370
Cbir_RNA15672_R0	gene_370
Dqua_RNA527_R0	gene_371
Mpha_RNA20330_R0	gene_371
Dqua_RNA528_R0	gene_372
Dqua_RNA536_R0	gene_373
Dqua_RNA538_R0	gene_374
Dqua_RNA539_R0	gene_375
Dqua_RNA540_R0	gene_376
Dqua_RNA542_R0	gene_377
Mpha_RNA1049_R0	gene_377
Nvit_RNA21896_R0	gene_378
Dqua_RNA547_R0	gene_379
Dqua_RNA549_R0	gene_380
Dqua_RNA556_R0	gene_381
Mpha_RNA12875_R1	gene_382
Nvit_RNA23755_R0	gene_383
Dqua_RNA567_R0	gene_384
Dqua_RNA573_R0	gene_385
Dqua_RNA581_R0	gene_386
Dqua_RNA583_R0	gene_387
Dqua_RNA584_R0	gene_388
Dqua_RNA587_R0	gene_389
Dqua_RNA591_R0	gene_390
Dqua_RNA593_R0	gene_391
Aech_RNA21933_R0	gene_391
Dqua_RNA594_R0	gene_392
Dqua_RNA596_R0	gene_393
Amel_RNA5321_R0	gene_393
Dqua_RNA603_R0	gene_394
Dqua_RNA604_R0	gene_395
Lhum_RNA148_R0	gene_396
Sinv_RNA1066_R0	gene_396
Dqua_RNA608_R0	gene_397
Dqua_RNA609_R0	gene_398
Dqua_RNA611_R0	gene_399
Dqua_RNA612_R0	gene_399
Dqua_RNA616_R0	gene_400
Nvit_RNA15439_R0	gene_401
Dqua_RNA619_R0	gene_401
Dqua_RNA622_R0	gene_401
Amel_RNA15229_R0	gene_401
Dqua_RNA624_R0	gene_402
Dqua_RNA626_R0	gene_403
Dqua_RNA638_R0	gene_404
Dmel_RNA30548_R0	gene_404
Dqua_RNA568_R0	gene_405
Dqua_RNA569_R0	gene_406
Nvit_RNA25779_R1	gene_406
Dqua_RNA578_R0	gene_407
Sinv_RNA9660_R0	gene_407
Dqua_RNA576_R0	gene_408
Lhum_RNA10395_R0	gene_408
Cbir_RNA19122_R0	gene_409
Dqua_RNA585_R0	gene_410
Dqua_RNA588_R0	gene_411
Mpha_RNA2399_R0	gene_411
Cbir_RNA18932_R0	gene_411
Dqua_RNA589_R0	gene_412
Sinv_RNA20359_R0	gene_413
Dqua_RNA590_R0	gene_413
Dqua_RNA595_R0	gene_414
Dqua_RNA598_R0	gene_415
Cbir_RNA18945_R0	gene_415
Dmel_RNA18658_R0	gene_415
Sinv_RNA20027_R9	gene_416
Dqua_RNA601_R0	gene_417
Dqua_RNA600_R0	gene_417
Dqua_RNA605_R0	gene_418
Lhum_RNA147_R0	gene_418
Dqua_RNA607_R0	gene_419
Cbir_RNA23788_R0	gene_419
Dmel_RNA27395_R0	gene_419
Dqua_RNA610_R0	gene_420
Cbir_RNA17130_R0	gene_420
Cbir_RNA17131_R0	gene_420
Dqua_RNA615_R0	gene_421
Dqua_RNA618_R0	gene_422
Dqua_RNA617_R0	gene_422
Dqua_RNA623_R0	gene_423
Dqua_RNA625_R0	gene_424
Dqua_RNA627_R0	gene_425
Dqua_RNA629_R0	gene_426
Dqua_RNA635_R0	gene_427
Mpha_RNA6843_R0	gene_427
Dqua_RNA639_R0	gene_428
Lhum_RNA21452_R0	gene_428
Cbir_RNA21966_R2	gene_428
Dqua_RNA8262_R9	gene_429
Dqua_RNA643_R0	gene_430
Dqua_RNA652_R0	gene_431
Dqua_RNA641_R0	gene_432
Dqua_RNA644_R0	gene_433
Dqua_RNA648_R0	gene_434
Dqua_RNA646_R0	gene_434
Mpha_RNA3365_R0	gene_434
Dqua_RNA18264_R2	gene_435
Aech_RNA7757_R8	gene_436
Aech_RNA17384_R0	gene_437
Aech_RNA20355_R2	gene_438
Dqua_RNA6391_R8	gene_439
Lhum_RNA21958_R1	gene_440
Dqua_RNA5071_R3	gene_441
Dqua_RNA9696_R9	gene_442
Aech_RNA3588_R6	gene_443
Cbir_RNA1167_R4	gene_444
Sinv_RNA17490_R3	gene_445
Aech_RNA21276_R5	gene_446
Dqua_RNA11966_R8	gene_447
Dqua_RNA656_R0	gene_448
Dqua_RNA189_R7	gene_449
Cbir_RNA18736_R1	gene_450
Dqua_RNA21861_R7	gene_451
Aech_RNA354_R9	gene_452
Cbir_RNA25471_R8	gene_453
Dqua_RNA22749_R3	gene_454
Mpha_RNA1027_R8	gene_455
Sinv_RNA16931_R1	gene_456
Sinv_RNA10256_R8	gene_457
Dqua_RNA658_R0	gene_458
Dqua_RNA662_R0	gene_459
Dqua_RNA661_R0	gene_459
Aech_RNA15910_R0	gene_459
Dqua_RNA664_R0	gene_460
Dqua_RNA668_R0	gene_460
Dqua_RNA680_R0	gene_461
Amel_RNA16255_R0	gene_461
Dqua_RNA682_R0	gene_462
Dqua_RNA684_R0	gene_463
Dqua_RNA694_R0	gene_464
Dqua_RNA696_R0	gene_465
Aech_RNA5195_R0	gene_465
Dqua_RNA697_R0	gene_466
Dqua_RNA701_R0	gene_467
Lhum_RNA12336_R1	gene_467
Aech_RNA18726_R0	gene_467
Dqua_RNA702_R0	gene_468
Sinv_RNA18464_R0	gene_468
Cbir_RNA24201_R0	gene_468
Dqua_RNA10191_R1	gene_469
Dqua_RNA707_R0	gene_470
Dqua_RNA709_R0	gene_471
Cbir_RNA23251_R0	gene_471
Dqua_RNA719_R0	gene_472
Dqua_RNA720_R0	gene_473
Dqua_RNA724_R0	gene_474
Nvit_RNA25209_R0	gene_474
Dqua_RNA723_R0	gene_475
Dqua_RNA727_R0	gene_476
Nvit_RNA25200_R0	gene_477
Dmel_RNA11299_R3	gene_478
Dqua_RNA735_R0	gene_479
Dqua_RNA734_R0	gene_479
Amel_RNA21653_R0	gene_479
Dqua_RNA752_R0	gene_480
Lhum_RNA7581_R0	gene_480
Dqua_RNA755_R0	gene_481
Dqua_RNA756_R0	gene_482
Dmel_RNA18502_R0	gene_482
Dmel_RNA18503_R0	gene_482
Cbir_RNA3628_R2	gene_482
Dqua_RNA759_R0	gene_483
Lhum_RNA23403_R2	gene_483
Amel_RNA13108_R2	gene_483
Aech_RNA5144_R1	gene_483
Dqua_RNA769_R0	gene_484
Dqua_RNA770_R0	gene_485
Dqua_RNA773_R0	gene_486
Dqua_RNA774_R0	gene_487
Amel_RNA16461_R0	gene_487
Dqua_RNA778_R0	gene_488
Lhum_RNA21632_R0	gene_488
Sinv_RNA21321_R2	gene_489
Dqua_RNA784_R0	gene_490
Dqua_RNA791_R0	gene_491
Dqua_RNA793_R0	gene_492
Lhum_RNA17045_R0	gene_492
Amel_RNA9188_R0	gene_492
Dqua_RNA796_R0	gene_493
Dqua_RNA800_R0	gene_494
Dqua_RNA805_R0	gene_495
Nvit_RNA17200_R0	gene_496
Dqua_RNA817_R0	gene_497
Dqua_RNA815_R0	gene_498
Dqua_RNA816_R0	gene_499
Dqua_RNA837_R0	gene_500
Dqua_RNA848_R0	gene_501
Amel_RNA5662_R0	gene_501
Cbir_RNA21331_R0	gene_502
Dqua_RNA853_R0	gene_503
Dqua_RNA857_R0	gene_504
Amel_RNA12598_R0	gene_505
Amel_RNA12602_R0	gene_506
Dqua_RNA864_R0	gene_507
Dqua_RNA866_R0	gene_508
Lhum_RNA9357_R0	gene_508
Dqua_RNA872_R0	gene_509
Dqua_RNA873_R0	gene_510
Dqua_RNA874_R0	gene_510
Mpha_RNA15834_R0	gene_510
Mpha_RNA15835_R0	gene_510
Cbir_RNA8309_R0	gene_510
Dqua_RNA877_R0	gene_511
Dqua_RNA883_R0	gene_512
Dqua_RNA1778_R1	gene_513
Nvit_RNA2720_R6	gene_514
Dqua_RNA660_R0	gene_515
Dmel_RNA11936_R1	gene_516
Dqua_RNA669_R0	gene_517
Cbir_RNA1489_R0	gene_517
Dqua_RNA671_R0	gene_518
Dqua_RNA677_R0	gene_518
Dqua_RNA670_R0	gene_518
Dqua_RNA672_R0	gene_518
Dqua_RNA679_R0	gene_519
Dqua_RNA683_R0	gene_520
Dqua_RNA685_R0	gene_521
Lhum_RNA8749_R0	gene_521
Sinv_RNA18447_R0	gene_521
Sinv_RNA36_R0	gene_521
Nvit_RNA8036_R2	gene_522
Dqua_RNA686_R0	gene_523
Dqua_RNA687_R0	gene_524
Dqua_RNA688_R0	gene_525
Dqua_RNA689_R0	gene_526
Dqua_RNA690_R0	gene_527
Dqua_RNA691_R0	gene_528
Dqua_RNA692_R0	gene_529
Dqua_RNA693_R0	gene_530
Dqua_RNA695_R0	gene_531
Dqua_RNA699_R0	gene_532
Dqua_RNA700_R0	gene_533
Dqua_RNA704_R0	gene_534
Dqua_RNA706_R0	gene_535
Dqua_RNA705_R0	gene_536
Dqua_RNA708_R0	gene_537
