Cbir_RNA17330_R5	gene_0
Dmel_RNA17482_R0	gene_56
Nvit_RNA6094_R8	gene_57
Sinv_RNA21148_R0	gene_58
Sinv_RNA20369_R3	gene_59
Sinv_RNA21999_R2	gene_60
Cbir_RNA14074_R6	gene_61
Lhum_RNA3204_R4	gene_62
Aech_RNA108_R0	gene_63
Cbir_RNA2354_R0	gene_64
Lhum_RNA6538_R2	gene_65
Aech_RNA16183_R0	gene_66
Sinv_RNA14069_R0	gene_67
Cbir_RNA4820_R0	gene_68
Aech_RNA123_R0	gene_69
Aech_RNA124_R0	gene_70
Aech_RNA125_R0	gene_71
Aech_RNA9417_R4	gene_72
Aech_RNA128_R0	gene_73
Aech_RNA134_R0	gene_74
Cbir_RNA23573_R0	gene_75
Aech_RNA142_R0	gene_76
Aech_RNA143_R0	gene_76
Aech_RNA141_R0	gene_76
Aech_RNA144_R0	gene_76
Aech_RNA139_R0	gene_76
Lhum_RNA19220_R0	gene_76
Mpha_RNA4247_R0	gene_77
Aech_RNA146_R0	gene_78
Lhum_RNA20657_R8	gene_79
Aech_RNA147_R0	gene_80
Aech_RNA148_R0	gene_81
Aech_RNA155_R0	gene_82
Aech_RNA161_R0	gene_83
Aech_RNA164_R0	gene_84
Aech_RNA172_R0	gene_85
Sinv_RNA17345_R6	gene_86
Amel_RNA19913_R7	gene_87
Aech_RNA174_R0	gene_88
Lhum_RNA19184_R0	gene_88
Aech_RNA846_R6	gene_89
Aech_RNA179_R0	gene_90
Nvit_RNA10333_R0	gene_91
Aech_RNA183_R0	gene_92
Mpha_RNA12922_R0	gene_93
Lhum_RNA19170_R0	gene_94
Mpha_RNA5090_R0	gene_95
Lhum_RNA19167_R0	gene_96
Mpha_RNA3442_R0	gene_96
Aech_RNA192_R0	gene_97
Mpha_RNA13515_R0	gene_97
Aech_RNA195_R0	gene_98
Aech_RNA196_R0	gene_99
Aech_RNA202_R0	gene_100
Mpha_RNA6872_R0	gene_101
Aech_RNA205_R0	gene_102
Aech_RNA209_R0	gene_103
Aech_RNA216_R0	gene_104
Mpha_RNA1445_R0	gene_104
Aech_RNA226_R0	gene_105
Aech_RNA224_R0	gene_105
Aech_RNA229_R0	gene_106
Aech_RNA5470_R1	gene_107
Aech_RNA232_R0	gene_108
Aech_RNA235_R0	gene_109
Aech_RNA239_R0	gene_110
Aech_RNA241_R0	gene_111
Mpha_RNA5117_R0	gene_111
Aech_RNA243_R0	gene_112
Aech_RNA247_R0	gene_113
Aech_RNA248_R0	gene_114
Aech_RNA250_R0	gene_115
Aech_RNA253_R0	gene_116
Aech_RNA254_R0	gene_117
Aech_RNA255_R0	gene_118
Lhum_RNA16022_R0	gene_118
Dmel_RNA16977_R0	gene_118
Aech_RNA261_R0	gene_119
Aech_RNA265_R0	gene_120
Aech_RNA266_R0	gene_120
Sinv_RNA3296_R0	gene_121
Aech_RNA268_R0	gene_122
Aech_RNA271_R0	gene_123
Aech_RNA270_R0	gene_123
Aech_RNA282_R0	gene_124
Aech_RNA284_R0	gene_125
Dmel_RNA24454_R0	gene_125
Aech_RNA285_R0	gene_126
Aech_RNA292_R0	gene_127
Aech_RNA294_R0	gene_128
Aech_RNA126_R0	gene_129
Mpha_RNA1979_R0	gene_130
Aech_RNA11693_R1	gene_131
Aech_RNA3989_R2	gene_132
Lhum_RNA23912_R7	gene_133
Aech_RNA130_R0	gene_134
Aech_RNA136_R0	gene_135
Aech_RNA4211_R4	gene_136
Aech_RNA138_R0	gene_137
Aech_RNA140_R0	gene_138
Nvit_RNA7950_R0	gene_138
Aech_RNA150_R0	gene_139
Aech_RNA149_R0	gene_139
Aech_RNA153_R0	gene_140
Aech_RNA162_R0	gene_141
Aech_RNA165_R0	gene_142
Lhum_RNA19204_R0	gene_142
Sinv_RNA868_R0	gene_142
Aech_RNA170_R0	gene_143
Aech_RNA171_R0	gene_144
Aech_RNA173_R0	gene_145
Mpha_RNA23602_R0	gene_145
Aech_RNA178_R0	gene_146
Aech_RNA177_R0	gene_147
Aech_RNA181_R0	gene_148
Amel_RNA17079_R0	gene_149
Aech_RNA184_R0	gene_150
Dmel_RNA11301_R6	gene_151
Aech_RNA188_R0	gene_152
Sinv_RNA901_R0	gene_153
Aech_RNA193_R0	gene_154
Aech_RNA201_R0	gene_155
Aech_RNA199_R0	gene_155
Aech_RNA207_R0	gene_156
Aech_RNA208_R0	gene_157
Aech_RNA212_R0	gene_158
Aech_RNA218_R0	gene_159
Aech_RNA219_R0	gene_159
Dqua_RNA11027_R0	gene_159
Dqua_RNA11282_R9	gene_160
Aech_RNA223_R0	gene_161
Sinv_RNA935_R0	gene_161
Aech_RNA231_R0	gene_162
Aech_RNA228_R0	gene_162
Dmel_RNA32061_R1	gene_162
Aech_RNA233_R0	gene_163
Sinv_RNA947_R0	gene_163
Dmel_RNA15222_R0	gene_163
Dmel_RNA29141_R0	gene_163
Aech_RNA238_R0	gene_164
Mpha_RNA8628_R0	gene_164
Aech_RNA245_R0	gene_165
Dqua_RNA11006_R0	gene_165
Amel_RNA1351_R1	gene_165
Aech_RNA249_R0	gene_166
Dqua_RNA16657_R1	gene_166
Aech_RNA11321_R1	gene_166
Aech_RNA252_R0	gene_167
Dqua_RNA10998_R0	gene_167
Mpha_RNA10780_R4	gene_167
Dqua_RNA461_R4	gene_167
Aech_RNA264_R0	gene_168
Aech_RNA269_R0	gene_169
Mpha_RNA20808_R0	gene_169
Mpha_RNA20809_R0	gene_170
Aech_RNA272_R0	gene_171
Aech_RNA276_R0	gene_172
Aech_RNA277_R0	gene_173
Aech_RNA280_R0	gene_173
Sinv_RNA9714_R0	gene_173
Mpha_RNA3291_R0	gene_174
Aech_RNA283_R0	gene_174
Nvit_RNA11663_R0	gene_174
Nvit_RNA11661_R0	gene_174
Nvit_RNA16940_R0	gene_174
Lhum_RNA1907_R0	gene_174
Lhum_RNA1912_R0	gene_174
Aech_RNA287_R0	gene_175
Aech_RNA286_R0	gene_175
Aech_RNA289_R0	gene_176
Aech_RNA288_R0	gene_176
Mpha_RNA13363_R0	gene_176
Aech_RNA290_R0	gene_177
Aech_RNA291_R0	gene_178
Dqua_RNA6385_R0	gene_178
Dmel_RNA20230_R0	gene_178
Aech_RNA293_R0	gene_179
Aech_RNA295_R0	gene_180
Sinv_RNA3270_R0	gene_180
Dmel_RNA1074_R0	gene_180
Nvit_RNA5765_R3	gene_181
Cbir_RNA10734_R9	gene_182
Cbir_RNA18437_R9	gene_183
Aech_RNA4242_R5	gene_184
Sinv_RNA6048_R2	gene_185
Aech_RNA15909_R7	gene_186
Lhum_RNA23913_R3	gene_187
Cbir_RNA14074_R2	gene_188
Cbir_RNA18148_R1	gene_189
Aech_RNA296_R0	gene_190
Aech_RNA297_R0	gene_191
Lhum_RNA19905_R0	gene_192
Sinv_RNA12003_R0	gene_193
Aech_RNA298_R0	gene_194
Aech_RNA20176_R2	gene_195
Aech_RNA20749_R5	gene_196
Mpha_RNA3119_R2	gene_197
Sinv_RNA15466_R9	gene_198
Sinv_RNA17400_R0	gene_199
Sinv_RNA17652_R0	gene_200
Aech_RNA18407_R7	gene_201
Aech_RNA3253_R3	gene_202
Aech_RNA302_R0	gene_203
Aech_RNA301_R0	gene_204
Aech_RNA20084_R2	gene_205
Aech_RNA303_R0	gene_206
Aech_RNA304_R0	gene_206
Aech_RNA306_R0	gene_206
Mpha_RNA7609_R9	gene_207
Dqua_RNA5155_R1	gene_208
Aech_RNA309_R0	gene_209
Aech_RNA313_R0	gene_210
Lhum_RNA21375_R6	gene_211
Aech_RNA4439_R3	gene_212
Cbir_RNA17843_R1	gene_213
Aech_RNA7564_R7	gene_214
Aech_RNA304_R1	gene_215
Aech_RNA307_R0	gene_216
Sinv_RNA19948_R6	gene_217
Sinv_RNA10362_R3	gene_218
Aech_RNA312_R0	gene_219
Dqua_RNA7428_R0	gene_219
Mpha_RNA16893_R0	gene_220
Aech_RNA318_R0	gene_221
Aech_RNA321_R0	gene_222
Aech_RNA323_R0	gene_222
Nvit_RNA2665_R9	gene_223
Cbir_RNA1185_R0	gene_224
Sinv_RNA19164_R4	gene_225
Aech_RNA328_R0	gene_226
Aech_RNA329_R0	gene_227
Mpha_RNA11201_R0	gene_228
Aech_RNA332_R0	gene_229
Aech_RNA333_R0	gene_230
Aech_RNA334_R0	gene_231
Aech_RNA337_R0	gene_232
Aech_RNA335_R0	gene_233
Sinv_RNA11056_R8	gene_234
Dqua_RNA2799_R9	gene_235
Aech_RNA339_R0	gene_236
Lhum_RNA9330_R0	gene_236
Aech_RNA345_R0	gene_237
Aech_RNA344_R0	gene_237
Aech_RNA343_R0	gene_237
Dmel_RNA14938_R2	gene_238
Aech_RNA346_R0	gene_238
Cbir_RNA4190_R0	gene_239
Aech_RNA349_R0	gene_240
Lhum_RNA8299_R4	gene_241
Cbir_RNA24644_R6	gene_242
Aech_RNA3261_R2	gene_243
Aech_RNA350_R0	gene_244
Sinv_RNA17125_R0	gene_245
Aech_RNA12008_R2	gene_246
Aech_RNA351_R0	gene_247
Lhum_RNA15138_R8	gene_248
Mpha_RNA11308_R2	gene_249
Aech_RNA20132_R2	gene_250
Sinv_RNA21148_R1	gene_251
Dqua_RNA10854_R7	gene_252
Aech_RNA3050_R7	gene_253
Aech_RNA15909_R9	gene_254
Aech_RNA355_R0	gene_255
Lhum_RNA20567_R2	gene_256
Aech_RNA17917_R1	gene_257
Cbir_RNA10734_R8	gene_258
Dqua_RNA8404_R2	gene_259
Mpha_RNA13754_R6	gene_260
Mpha_RNA18400_R4	gene_261
Sinv_RNA12787_R1	gene_262
Lhum_RNA16047_R2	gene_263
Aech_RNA3701_R9	gene_264
Aech_RNA5126_R1	gene_265
Aech_RNA356_R0	gene_266
Cbir_RNA25344_R2	gene_267
Aech_RNA357_R0	gene_268
Aech_RNA15185_R1	gene_269
Aech_RNA8791_R2	gene_270
Aech_RNA19779_R9	gene_271
Lhum_RNA3491_R8	gene_272
Aech_RNA7203_R5	gene_273
Aech_RNA3911_R9	gene_274
Aech_RNA363_R0	gene_275
Nvit_RNA10499_R0	gene_275
Dmel_RNA33419_R0	gene_275
Aech_RNA361_R0	gene_276
Aech_RNA362_R0	gene_277
Sinv_RNA16410_R0	gene_277
Lhum_RNA13681_R0	gene_277
Aech_RNA369_R0	gene_278
Aech_RNA377_R0	gene_279
Aech_RNA380_R0	gene_279
Mpha_RNA6152_R0	gene_280
Mpha_RNA6151_R0	gene_280
Dqua_RNA17362_R0	gene_280
Aech_RNA391_R0	gene_281
Aech_RNA390_R0	gene_281
Mpha_RNA20141_R0	gene_281
Cbir_RNA19791_R0	gene_281
Dqua_RNA17356_R0	gene_281
Cbir_RNA19797_R0	gene_282
Lhum_RNA19993_R0	gene_283
Dqua_RNA17350_R0	gene_283
Dmel_RNA20077_R0	gene_283
Sinv_RNA20261_R0	gene_283
Sinv_RNA2726_R1	gene_283
Aech_RNA399_R0	gene_284
Aech_RNA406_R0	gene_285
Aech_RNA408_R0	gene_285
Lhum_RNA19996_R0	gene_285
Amel_RNA28025_R0	gene_285
Aech_RNA415_R0	gene_286
Aech_RNA420_R0	gene_287
Aech_RNA419_R0	gene_288
Lhum_RNA20007_R0	gene_288
Mpha_RNA12140_R0	gene_288
Aech_RNA425_R0	gene_289
Aech_RNA437_R0	gene_290
Aech_RNA441_R0	gene_291
Mpha_RNA17148_R0	gene_291
Aech_RNA451_R0	gene_292
Amel_RNA23557_R0	gene_292
Aech_RNA452_R0	gene_293
Aech_RNA453_R0	gene_294
Aech_RNA454_R0	gene_294
Aech_RNA456_R0	gene_295
Aech_RNA458_R0	gene_296
Sinv_RNA5543_R0	gene_297
Amel_RNA7217_R0	gene_298
Aech_RNA491_R0	gene_299
Nvit_RNA8618_R0	gene_299
Aech_RNA493_R0	gene_300
Sinv_RNA5579_R0	gene_300
Aech_RNA497_R0	gene_301
Aech_RNA499_R0	gene_301
Aech_RNA496_R0	gene_301
Dmel_RNA20575_R0	gene_301
Aech_RNA508_R0	gene_302
Sinv_RNA5599_R0	gene_303
Aech_RNA511_R0	gene_304
Cbir_RNA18803_R0	gene_304
Aech_RNA515_R0	gene_305
Cbir_RNA4709_R0	gene_306
Cbir_RNA4702_R0	gene_307
Sinv_RNA5615_R0	gene_308
Mpha_RNA19977_R0	gene_309
Aech_RNA524_R0	gene_310
Aech_RNA526_R0	gene_311
Aech_RNA525_R0	gene_312
Dqua_RNA8669_R0	gene_312
Aech_RNA528_R0	gene_313
Aech_RNA531_R0	gene_313
Dqua_RNA8665_R0	gene_313
Aech_RNA533_R0	gene_314
Sinv_RNA8854_R0	gene_314
Dmel_RNA24056_R0	gene_314
Aech_RNA534_R0	gene_315
Aech_RNA539_R0	gene_316
Aech_RNA542_R0	gene_317
Aech_RNA540_R0	gene_318
Aech_RNA541_R0	gene_319
Aech_RNA359_R0	gene_320
Dmel_RNA28167_R0	gene_320
Aech_RNA360_R0	gene_321
Sinv_RNA20205_R0	gene_322
Mpha_RNA5944_R0	gene_323
Mpha_RNA5935_R0	gene_324
Amel_RNA13320_R0	gene_324
Aech_RNA374_R0	gene_325
Lhum_RNA19973_R0	gene_325
Cbir_RNA19778_R0	gene_325
Dmel_RNA28446_R0	gene_325
Aech_RNA381_R0	gene_326
Aech_RNA383_R0	gene_327
Aech_RNA395_R0	gene_328
Cbir_RNA19796_R0	gene_328
Cbir_RNA19795_R0	gene_328
Aech_RNA403_R0	gene_329
Aech_RNA409_R0	gene_330
Sinv_RNA5493_R0	gene_331
Aech_RNA410_R0	gene_332
Aech_RNA411_R0	gene_333
Aech_RNA421_R0	gene_334
Aech_RNA423_R0	gene_334
Aech_RNA422_R0	gene_334
Mpha_RNA12148_R0	gene_334
Mpha_RNA12147_R0	gene_334
Aech_RNA435_R0	gene_335
Dmel_RNA24946_R1	gene_335
Dmel_RNA24949_R1	gene_335
Mpha_RNA21188_R1	gene_335
Aech_RNA436_R0	gene_336
Amel_RNA23762_R0	gene_336
Aech_RNA455_R0	gene_337
Aech_RNA459_R0	gene_338
Aech_RNA460_R0	gene_338
Aech_RNA461_R0	gene_339
Aech_RNA462_R0	gene_339
Sinv_RNA5552_R0	gene_340
Aech_RNA483_R0	gene_340
Aech_RNA486_R0	gene_341
Aech_RNA485_R0	gene_341
Amel_RNA24240_R0	gene_341
Nvit_RNA5748_R2	gene_341
Aech_RNA487_R0	gene_342
Amel_RNA24437_R0	gene_343
Aech_RNA490_R0	gene_344
Aech_RNA489_R0	gene_344
Aech_RNA492_R0	gene_345
Sinv_RNA5577_R0	gene_345
Amel_RNA24458_R0	gene_345
Aech_RNA494_R0	gene_346
Aech_RNA495_R0	gene_347
Aech_RNA502_R0	gene_348
Aech_RNA503_R0	gene_349
Aech_RNA504_R0	gene_350
Cbir_RNA18812_R0	gene_350
Sinv_RNA5595_R0	gene_351
Aech_RNA507_R0	gene_352
Nvit_RNA8953_R0	gene_352
Aech_RNA509_R0	gene_353
Aech_RNA512_R0	gene_354
Sinv_RNA5602_R0	gene_354
Sinv_RNA5601_R0	gene_354
Mpha_RNA22416_R0	gene_354
Dmel_RNA12964_R0	gene_354
Aech_RNA517_R0	gene_355
Mpha_RNA4134_R2	gene_356
Aech_RNA527_R0	gene_357
Mpha_RNA1141_R0	gene_357
Dmel_RNA2116_R3	gene_358
Aech_RNA532_R0	gene_359
Aech_RNA536_R0	gene_360
Aech_RNA535_R0	gene_360
Aech_RNA537_R0	gene_361
Aech_RNA543_R0	gene_362
Aech_RNA545_R0	gene_363
Aech_RNA553_R0	gene_364
Dqua_RNA16296_R0	gene_365
Lhum_RNA18878_R0	gene_366
Aech_RNA554_R0	gene_367
Nvit_RNA24676_R1	gene_368
Sinv_RNA14069_R2	gene_369
Sinv_RNA21203_R6	gene_370
Lhum_RNA17019_R1	gene_371
Aech_RNA557_R0	gene_372
Sinv_RNA21759_R0	gene_373
Aech_RNA558_R0	gene_374
Aech_RNA561_R0	gene_375
Nvit_RNA22008_R0	gene_375
Aech_RNA589_R0	gene_376
Aech_RNA590_R0	gene_377
Sinv_RNA6296_R1	gene_377
Aech_RNA576_R0	gene_378
Aech_RNA592_R0	gene_379
Aech_RNA587_R0	gene_380
Aech_RNA586_R0	gene_380
Aech_RNA569_R0	gene_381
Aech_RNA570_R0	gene_381
Aech_RNA571_R0	gene_381
Aech_RNA559_R0	gene_382
Aech_RNA7502_R1	gene_382
Aech_RNA560_R0	gene_383
Aech_RNA567_R0	gene_384
Cbir_RNA18104_R0	gene_384
Aech_RNA568_R0	gene_385
Aech_RNA572_R0	gene_386
Aech_RNA574_R0	gene_386
Aech_RNA575_R0	gene_386
Cbir_RNA18113_R0	gene_386
Aech_RNA591_R0	gene_387
Sinv_RNA15445_R0	gene_387
Aech_RNA596_R0	gene_388
Sinv_RNA15439_R0	gene_389
Aech_RNA607_R0	gene_390
Cbir_RNA18991_R0	gene_390
Aech_RNA598_R0	gene_391
Aech_RNA599_R0	gene_392
Aech_RNA601_R0	gene_393
Cbir_RNA18986_R0	gene_394
Aech_RNA603_R0	gene_395
Aech_RNA605_R0	gene_395
Aech_RNA606_R0	gene_396
Aech_RNA608_R0	gene_397
Mpha_RNA9813_R0	gene_397
Aech_RNA614_R0	gene_398
Aech_RNA625_R0	gene_399
Aech_RNA629_R0	gene_400
Aech_RNA632_R0	gene_401
Lhum_RNA7187_R0	gene_401
Lhum_RNA23312_R0	gene_401
Lhum_RNA3347_R0	gene_401
Aech_RNA633_R0	gene_402
Dqua_RNA12228_R0	gene_402
Aech_RNA634_R0	gene_403
Aech_RNA6261_R1	gene_404
Aech_RNA618_R0	gene_405
Dmel_RNA31912_R0	gene_405
Aech_RNA623_R0	gene_406
Aech_RNA626_R0	gene_407
Dmel_RNA2120_R0	gene_407
Aech_RNA627_R0	gene_408
Aech_RNA631_R0	gene_409
Aech_RNA635_R0	gene_410
Aech_RNA636_R0	gene_411
Aech_RNA637_R0	gene_412
Aech_RNA5586_R4	gene_413
Aech_RNA13420_R3	gene_414
Mpha_RNA995_R6	gene_415
Aech_RNA7786_R2	gene_416
Sinv_RNA12866_R0	gene_417
Aech_RNA5730_R3	gene_418
Sinv_RNA218_R2	gene_419
Sinv_RNA19055_R9	gene_420
Lhum_RNA584_R6	gene_421
Aech_RNA5129_R7	gene_422
Sinv_RNA13072_R4	gene_423
Lhum_RNA4788_R0	gene_424
Aech_RNA14445_R3	gene_425
Cbir_RNA14523_R8	gene_426
Sinv_RNA18172_R0	gene_427
Aech_RNA1369_R9	gene_428
Lhum_RNA14275_R1	gene_429
Cbir_RNA6922_R7	gene_430
Dqua_RNA6391_R4	gene_431
Amel_RNA14188_R0	gene_432
Aech_RNA6290_R2	gene_433
Sinv_RNA5359_R0	gene_434
Sinv_RNA6052_R0	gene_435
Sinv_RNA17842_R0	gene_436
Lhum_RNA23912_R6	gene_437
Dqua_RNA22466_R6	gene_438
Aech_RNA18651_R7	gene_439
Sinv_RNA21654_R7	gene_440
Lhum_RNA16703_R7	gene_441
Dmel_RNA5125_R0	gene_442
Aech_RNA9926_R4	gene_443
Aech_RNA15423_R5	gene_444
Lhum_RNA6545_R0	gene_445
Lhum_RNA3439_R4	gene_446
Cbir_RNA14410_R8	gene_447
Aech_RNA646_R0	gene_448
Aech_RNA645_R0	gene_449
Mpha_RNA14994_R1	gene_450
Mpha_RNA16897_R0	gene_451
Dqua_RNA23461_R8	gene_451
Aech_RNA659_R0	gene_452
Mpha_RNA16899_R1	gene_453
Cbir_RNA8961_R0	gene_454
Cbir_RNA8961_R2	gene_455
Cbir_RNA6273_R4	gene_456
Mpha_RNA20062_R0	gene_457
Mpha_RNA20063_R1	gene_458
Cbir_RNA24916_R5	gene_458
Cbir_RNA24214_R0	gene_458
Aech_RNA654_R0	gene_459
Sinv_RNA16810_R8	gene_459
Cbir_RNA24254_R0	gene_460
Aech_RNA657_R0	gene_461
Aech_RNA650_R0	gene_462
Cbir_RNA24231_R4	gene_463
Aech_RNA650_R2	gene_464
Nvit_RNA16272_R5	gene_465
Lhum_RNA3204_R3	gene_466
Aech_RNA13103_R1	gene_467
Sinv_RNA21590_R9	gene_468
Aech_RNA12025_R4	gene_469
Cbir_RNA20822_R5	gene_470
Nvit_RNA5765_R7	gene_471
Lhum_RNA4897_R7	gene_472
Sinv_RNA22190_R8	gene_473
Aech_RNA4242_R1	gene_474
Sinv_RNA21057_R8	gene_475
Cbir_RNA18148_R3	gene_476
Aech_RNA7564_R4	gene_477
Aech_RNA663_R0	gene_478
Sinv_RNA11131_R0	gene_479
Lhum_RNA2574_R8	gene_480
Cbir_RNA12346_R7	gene_481
Mpha_RNA2620_R7	gene_482
Aech_RNA6202_R7	gene_483
Sinv_RNA7224_R2	gene_484
Sinv_RNA21060_R3	gene_485
Aech_RNA662_R0	gene_486
Aech_RNA7185_R4	gene_487
Dqua_RNA20675_R3	gene_488
Aech_RNA862_R1	gene_489
Cbir_RNA1167_R9	gene_490
Lhum_RNA11630_R1	gene_491
Nvit_RNA6093_R1	gene_492
Sinv_RNA21192_R7	gene_493
Dqua_RNA189_R8	gene_494
Lhum_RNA450_R3	gene_495
Nvit_RNA24676_R4	gene_496
Aech_RNA9381_R4	gene_497
Lhum_RNA7096_R2	gene_498
Sinv_RNA18918_R1	gene_499
Lhum_RNA7473_R6	gene_500
Aech_RNA6584_R3	gene_501
Aech_RNA664_R0	gene_502
Sinv_RNA21552_R9	gene_503
Sinv_RNA3507_R4	gene_504
Cbir_RNA12346_R3	gene_505
Sinv_RNA18047_R1	gene_506
Dqua_RNA22112_R8	gene_507
Amel_RNA19913_R6	gene_508
Aech_RNA17417_R5	gene_509
Aech_RNA671_R0	gene_510
Dqua_RNA14004_R0	gene_510
Nvit_RNA6993_R0	gene_510
Dmel_RNA2006_R0	gene_510
Aech_RNA678_R0	gene_511
Aech_RNA681_R0	gene_512
Mpha_RNA20219_R0	gene_513
Aech_RNA684_R0	gene_513
Aech_RNA686_R0	gene_513
Aech_RNA685_R0	gene_513
Aech_RNA689_R0	gene_514
Nvit_RNA11522_R0	gene_515
Aech_RNA692_R0	gene_516
Aech_RNA697_R0	gene_517
Dqua_RNA19264_R0	gene_517
Aech_RNA700_R0	gene_518
Lhum_RNA16703_R0	gene_519
Sinv_RNA5095_R0	gene_520
Aech_RNA709_R0	gene_521
Sinv_RNA13001_R0	gene_521
Sinv_RNA15665_R0	gene_522
Aech_RNA716_R0	gene_523
Aech_RNA717_R0	gene_523
Aech_RNA719_R0	gene_523
Aech_RNA715_R0	gene_523
Aech_RNA721_R0	gene_524
Aech_RNA724_R0	gene_525
Lhum_RNA16941_R0	gene_525
Dqua_RNA544_R0	gene_525
Aech_RNA727_R0	gene_526
Mpha_RNA15455_R0	gene_526
Aech_RNA738_R0	gene_527
Aech_RNA737_R0	gene_527
Aech_RNA740_R0	gene_527
Aech_RNA734_R0	gene_527
Aech_RNA739_R0	gene_527
Nvit_RNA23026_R0	gene_528
Dmel_RNA25426_R0	gene_529
Sinv_RNA15690_R0	gene_530
Amel_RNA28407_R6	gene_531
Aech_RNA750_R0	gene_532
Aech_RNA753_R0	gene_533
Aech_RNA754_R0	gene_533
Cbir_RNA2253_R0	gene_533
Amel_RNA2926_R0	gene_534
Lhum_RNA6940_R0	gene_535
Aech_RNA765_R0	gene_536
Aech_RNA766_R0	gene_537
Aech_RNA770_R0	gene_538
Aech_RNA771_R0	gene_539
Aech_RNA772_R0	gene_540
Aech_RNA773_R0	gene_541
Lhum_RNA6932_R0	gene_542
Sinv_RNA11163_R0	gene_542
Sinv_RNA11162_R0	gene_543
Mpha_RNA13188_R0	gene_544
Aech_RNA775_R0	gene_544
Dqua_RNA4855_R0	gene_545
Aech_RNA781_R0	gene_546
Aech_RNA666_R0	gene_547
Amel_RNA5794_R0	gene_548
Aech_RNA673_R0	gene_549
Amel_RNA5807_R0	gene_549
Aech_RNA679_R0	gene_550
Mpha_RNA9731_R0	gene_551
Mpha_RNA9734_R0	gene_551
Cbir_RNA722_R0	gene_551
Dqua_RNA19247_R0	gene_551
Nvit_RNA7192_R0	gene_551
Sinv_RNA18950_R0	gene_551
Aech_RNA694_R0	gene_552
Aech_RNA695_R0	gene_552
Aech_RNA693_R0	gene_552
Mpha_RNA22133_R0	gene_552
Aech_RNA696_R0	gene_552
Nvit_RNA14715_R0	gene_552
Aech_RNA699_R0	gene_553
Lhum_RNA510_R0	gene_553
Lhum_RNA2088_R0	gene_554
Aech_RNA703_R0	gene_555
Lhum_RNA2091_R0	gene_555
Cbir_RNA699_R0	gene_555
Aech_RNA705_R0	gene_556
Aech_RNA704_R0	gene_556
Aech_RNA710_R0	gene_557
Aech_RNA712_R0	gene_558
Aech_RNA713_R0	gene_559
Amel_RNA20539_R0	gene_559
Dmel_RNA1319_R0	gene_559
Aech_RNA714_R0	gene_560
Amel_RNA20527_R0	gene_561
Aech_RNA722_R0	gene_562
Aech_RNA725_R0	gene_563
Aech_RNA726_R0	gene_564
Aech_RNA730_R0	gene_565
Sinv_RNA15689_R0	gene_566
Aech_RNA748_R0	gene_567
Aech_RNA747_R0	gene_567
Cbir_RNA656_R0	gene_567
Dmel_RNA24540_R0	gene_567
Mpha_RNA13884_R0	gene_568
Aech_RNA751_R0	gene_568
Lhum_RNA16906_R0	gene_568
Dmel_RNA6340_R0	gene_568
Aech_RNA752_R0	gene_569
Aech_RNA755_R0	gene_570
Cbir_RNA2251_R0	gene_570
Aech_RNA758_R0	gene_571
Aech_RNA760_R0	gene_572
Dmel_RNA18219_R0	gene_573
Aech_RNA764_R0	gene_574
Aech_RNA2539_R1	gene_574
Lhum_RNA617_R1	gene_574
