Cbir_RNA25344_R1	gene_0
Sinv_RNA58_R0	gene_57
Aech_RNA15129_R0	gene_57
Aech_RNA15130_R0	gene_57
Sinv_RNA60_R0	gene_58
Nvit_RNA6229_R0	gene_58
Dmel_RNA8209_R5	gene_58
Sinv_RNA61_R0	gene_59
Mpha_RNA11585_R0	gene_59
Sinv_RNA64_R0	gene_60
Aech_RNA15105_R0	gene_61
Mpha_RNA10241_R0	gene_61
Lhum_RNA22684_R0	gene_61
Amel_RNA21806_R0	gene_61
Dqua_RNA20178_R0	gene_61
Sinv_RNA45_R0	gene_62
Sinv_RNA46_R0	gene_63
Sinv_RNA50_R0	gene_64
Mpha_RNA11572_R0	gene_64
Sinv_RNA53_R0	gene_65
Sinv_RNA52_R0	gene_65
Nvit_RNA18055_R0	gene_65
Sinv_RNA54_R0	gene_66
Nvit_RNA18056_R0	gene_66
Sinv_RNA59_R0	gene_67
Lhum_RNA10025_R0	gene_68
Sinv_RNA67_R0	gene_68
Sinv_RNA65_R0	gene_68
Aech_RNA15137_R0	gene_68
Nvit_RNA2787_R8	gene_68
Sinv_RNA62_R0	gene_69
Lhum_RNA13080_R0	gene_69
Dmel_RNA7873_R0	gene_69
Cbir_RNA19359_R2	gene_70
Sinv_RNA70_R0	gene_71
Nvit_RNA25543_R0	gene_72
Lhum_RNA20563_R3	gene_73
Sinv_RNA71_R0	gene_74
Lhum_RNA2718_R0	gene_75
Sinv_RNA74_R0	gene_76
Sinv_RNA76_R0	gene_77
Sinv_RNA77_R0	gene_78
Sinv_RNA79_R0	gene_79
Dmel_RNA20144_R0	gene_80
Sinv_RNA83_R0	gene_81
Sinv_RNA85_R0	gene_82
Sinv_RNA92_R0	gene_83
Sinv_RNA93_R0	gene_84
Mpha_RNA16366_R0	gene_84
Sinv_RNA99_R0	gene_85
Sinv_RNA97_R0	gene_86
Sinv_RNA109_R0	gene_87
Mpha_RNA16332_R0	gene_87
Lhum_RNA5725_R0	gene_87
Sinv_RNA111_R0	gene_88
Sinv_RNA113_R0	gene_89
Mpha_RNA16326_R0	gene_90
Sinv_RNA115_R0	gene_91
Sinv_RNA118_R0	gene_92
Sinv_RNA121_R0	gene_93
Sinv_RNA120_R0	gene_93
Amel_RNA12263_R0	gene_93
Dmel_RNA25065_R0	gene_94
Cbir_RNA22985_R0	gene_95
Dmel_RNA24436_R0	gene_96
Sinv_RNA127_R0	gene_97
Sinv_RNA128_R0	gene_98
Sinv_RNA132_R0	gene_99
Sinv_RNA134_R0	gene_100
Dqua_RNA1693_R0	gene_100
Dmel_RNA28382_R0	gene_100
Sinv_RNA136_R0	gene_101
Sinv_RNA140_R0	gene_102
Sinv_RNA142_R0	gene_103
Amel_RNA3677_R1	gene_103
Sinv_RNA147_R0	gene_104
Dqua_RNA1717_R0	gene_104
Sinv_RNA150_R0	gene_105
Sinv_RNA154_R0	gene_106
Sinv_RNA163_R0	gene_107
Mpha_RNA2460_R0	gene_107
Sinv_RNA166_R0	gene_108
Sinv_RNA174_R0	gene_109
Sinv_RNA179_R0	gene_110
Lhum_RNA1168_R0	gene_110
Sinv_RNA180_R0	gene_110
Mpha_RNA21660_R0	gene_110
Mpha_RNA21659_R0	gene_110
Mpha_RNA21658_R0	gene_110
Amel_RNA2145_R0	gene_110
Dmel_RNA12014_R0	gene_110
Dqua_RNA16835_R0	gene_111
Sinv_RNA188_R0	gene_111
Dqua_RNA6034_R1	gene_111
Sinv_RNA196_R0	gene_112
Sinv_RNA197_R0	gene_113
Nvit_RNA2787_R0	gene_113
Lhum_RNA440_R4	gene_113
Nvit_RNA10447_R1	gene_113
Lhum_RNA359_R0	gene_113
Sinv_RNA199_R0	gene_114
Sinv_RNA203_R0	gene_115
Sinv_RNA204_R0	gene_115
Amel_RNA13911_R0	gene_115
Sinv_RNA205_R0	gene_116
Sinv_RNA13034_R1	gene_117
Sinv_RNA207_R0	gene_118
Sinv_RNA208_R0	gene_119
Sinv_RNA210_R0	gene_120
Sinv_RNA21528_R1	gene_121
Sinv_RNA82_R0	gene_122
Mpha_RNA12412_R0	gene_122
Mpha_RNA12407_R0	gene_123
Sinv_RNA94_R0	gene_124
Sinv_RNA96_R0	gene_125
Mpha_RNA16362_R0	gene_125
Sinv_RNA101_R0	gene_126
Sinv_RNA100_R0	gene_126
Sinv_RNA103_R0	gene_126
Sinv_RNA102_R0	gene_126
Dqua_RNA4573_R0	gene_126
Dmel_RNA5278_R0	gene_126
Sinv_RNA104_R0	gene_127
Sinv_RNA107_R0	gene_128
Sinv_RNA108_R0	gene_129
Sinv_RNA110_R0	gene_130
Sinv_RNA112_R0	gene_131
Cbir_RNA22971_R0	gene_131
Sinv_RNA114_R0	gene_132
Sinv_RNA117_R0	gene_133
Mpha_RNA3881_R0	gene_134
Sinv_RNA119_R0	gene_135
Sinv_RNA124_R0	gene_136
Amel_RNA12267_R0	gene_136
Aech_RNA12013_R0	gene_137
Aech_RNA12014_R0	gene_138
Mpha_RNA20864_R0	gene_139
Mpha_RNA23535_R0	gene_140
Sinv_RNA133_R0	gene_141
Sinv_RNA135_R0	gene_142
Sinv_RNA138_R0	gene_143
Sinv_RNA139_R0	gene_144
Mpha_RNA19686_R0	gene_145
Sinv_RNA146_R0	gene_146
Aech_RNA11811_R0	gene_146
Dqua_RNA1714_R0	gene_146
Sinv_RNA149_R0	gene_147
Sinv_RNA151_R0	gene_148
Cbir_RNA15703_R4	gene_149
Sinv_RNA172_R0	gene_150
Sinv_RNA171_R0	gene_150
Cbir_RNA16283_R0	gene_150
Sinv_RNA173_R0	gene_151
Sinv_RNA187_R0	gene_152
Sinv_RNA189_R0	gene_153
Sinv_RNA193_R0	gene_154
Dmel_RNA17367_R0	gene_154
Nvit_RNA10102_R0	gene_154
Sinv_RNA194_R0	gene_155
Cbir_RNA7731_R0	gene_155
Nvit_RNA6334_R0	gene_155
Sinv_RNA200_R0	gene_156
Sinv_RNA201_R0	gene_157
Sinv_RNA202_R0	gene_158
Sinv_RNA206_R0	gene_159
Sinv_RNA209_R0	gene_160
Sinv_RNA211_R0	gene_161
Nvit_RNA14850_R1	gene_161
Sinv_RNA214_R0	gene_162
Sinv_RNA213_R0	gene_162
Sinv_RNA215_R0	gene_163
Aech_RNA6244_R0	gene_164
Dqua_RNA5120_R3	gene_164
Sinv_RNA218_R0	gene_165
Mpha_RNA4194_R8	gene_166
Cbir_RNA23012_R1	gene_167
Sinv_RNA221_R0	gene_168
Sinv_RNA3045_R9	gene_169
Sinv_RNA222_R0	gene_170
Aech_RNA20626_R0	gene_171
Lhum_RNA5783_R2	gene_172
Sinv_RNA6277_R4	gene_173
Cbir_RNA12100_R3	gene_174
Aech_RNA21456_R0	gene_175
Sinv_RNA19144_R4	gene_176
Lhum_RNA15296_R3	gene_177
Lhum_RNA2112_R0	gene_178
Sinv_RNA19050_R1	gene_179
Cbir_RNA25339_R0	gene_180
Mpha_RNA20180_R0	gene_181
Amel_RNA27856_R0	gene_182
Sinv_RNA21850_R5	gene_183
Sinv_RNA18953_R3	gene_184
Sinv_RNA20222_R6	gene_185
Sinv_RNA226_R0	gene_186
Sinv_RNA227_R0	gene_187
Dmel_RNA19770_R0	gene_187
Sinv_RNA13646_R2	gene_188
Sinv_RNA230_R0	gene_189
Lhum_RNA642_R0	gene_190
Sinv_RNA228_R0	gene_191
Cbir_RNA24644_R9	gene_192
Amel_RNA28439_R7	gene_193
Amel_RNA12899_R0	gene_194
Cbir_RNA14668_R0	gene_194
Dmel_RNA27789_R0	gene_194
Sinv_RNA234_R0	gene_195
Sinv_RNA236_R0	gene_196
Aech_RNA3132_R0	gene_197
Sinv_RNA240_R0	gene_198
Sinv_RNA242_R0	gene_199
Sinv_RNA247_R0	gene_200
Sinv_RNA251_R0	gene_201
Sinv_RNA249_R0	gene_202
Sinv_RNA250_R0	gene_203
Sinv_RNA252_R0	gene_204
Sinv_RNA254_R0	gene_205
Sinv_RNA255_R0	gene_206
Sinv_RNA256_R0	gene_207
Aech_RNA3147_R0	gene_207
Sinv_RNA264_R0	gene_208
Mpha_RNA1441_R5	gene_209
Sinv_RNA252_R1	gene_210
Sinv_RNA238_R0	gene_211
Amel_RNA12994_R0	gene_212
Sinv_RNA239_R0	gene_213
Sinv_RNA241_R0	gene_214
Mpha_RNA20949_R0	gene_214
Dqua_RNA10489_R0	gene_214
Sinv_RNA246_R0	gene_215
Sinv_RNA248_R0	gene_216
Sinv_RNA253_R0	gene_217
Sinv_RNA261_R0	gene_218
Sinv_RNA262_R0	gene_219
Mpha_RNA11554_R0	gene_220
Sinv_RNA264_R1	gene_221
Cbir_RNA14401_R0	gene_222
Amel_RNA27548_R9	gene_223
Cbir_RNA6_R1	gene_224
Sinv_RNA265_R0	gene_225
Dmel_RNA6052_R0	gene_225
Sinv_RNA269_R0	gene_226
Sinv_RNA273_R0	gene_227
Sinv_RNA274_R0	gene_228
Mpha_RNA11497_R0	gene_229
Sinv_RNA285_R0	gene_230
Cbir_RNA5696_R0	gene_230
Mpha_RNA1736_R0	gene_231
Sinv_RNA288_R0	gene_231
Sinv_RNA291_R0	gene_232
Sinv_RNA271_R0	gene_233
Mpha_RNA16057_R0	gene_233
Sinv_RNA272_R0	gene_234
Sinv_RNA275_R0	gene_235
Sinv_RNA9057_R1	gene_236
Sinv_RNA283_R0	gene_237
Lhum_RNA22636_R0	gene_237
Sinv_RNA284_R0	gene_238
Aech_RNA5353_R0	gene_239
Mpha_RNA1735_R0	gene_239
Cbir_RNA5696_R1	gene_240
Sinv_RNA290_R0	gene_241
Sinv_RNA294_R0	gene_242
Sinv_RNA296_R0	gene_242
Sinv_RNA295_R0	gene_242
Mpha_RNA13209_R0	gene_242
Mpha_RNA13211_R0	gene_242
Mpha_RNA13210_R0	gene_242
Lhum_RNA13084_R0	gene_242
Mpha_RNA7161_R0	gene_243
Aech_RNA3265_R0	gene_244
Cbir_RNA6258_R4	gene_245
Sinv_RNA297_R0	gene_246
Sinv_RNA12992_R2	gene_247
Cbir_RNA18721_R8	gene_248
Aech_RNA15210_R5	gene_249
Lhum_RNA1037_R2	gene_250
Dqua_RNA1015_R2	gene_251
Sinv_RNA300_R0	gene_252
Lhum_RNA109_R1	gene_253
Sinv_RNA301_R0	gene_254
Lhum_RNA8210_R2	gene_255
Cbir_RNA13914_R0	gene_256
Sinv_RNA17019_R6	gene_257
Sinv_RNA19574_R9	gene_258
Sinv_RNA10336_R3	gene_259
Sinv_RNA305_R0	gene_260
Sinv_RNA306_R0	gene_261
Sinv_RNA307_R0	gene_262
Mpha_RNA13304_R0	gene_263
Dqua_RNA16486_R0	gene_263
Mpha_RNA13305_R0	gene_263
Sinv_RNA310_R0	gene_264
Mpha_RNA18624_R0	gene_265
Aech_RNA2307_R0	gene_266
Sinv_RNA317_R0	gene_267
Sinv_RNA320_R0	gene_268
Mpha_RNA13019_R0	gene_269
Aech_RNA5817_R0	gene_269
Sinv_RNA322_R0	gene_270
Aech_RNA5821_R0	gene_271
Aech_RNA5815_R0	gene_272
Sinv_RNA21944_R4	gene_273
Sinv_RNA312_R0	gene_274
Sinv_RNA314_R0	gene_275
Sinv_RNA315_R0	gene_276
Dmel_RNA6678_R0	gene_276
Sinv_RNA316_R0	gene_277
Dmel_RNA4005_R0	gene_277
Sinv_RNA325_R0	gene_278
Nvit_RNA9023_R7	gene_278
Sinv_RNA326_R0	gene_279
Sinv_RNA338_R0	gene_280
Aech_RNA15327_R0	gene_280
Aech_RNA15334_R0	gene_281
Aech_RNA15331_R0	gene_281
Sinv_RNA348_R0	gene_282
Sinv_RNA350_R0	gene_282
Amel_RNA8655_R0	gene_282
Sinv_RNA352_R0	gene_283
Sinv_RNA355_R0	gene_284
Sinv_RNA357_R0	gene_285
Sinv_RNA328_R0	gene_286
Sinv_RNA329_R0	gene_287
Dmel_RNA22719_R3	gene_287
Lhum_RNA3721_R3	gene_287
Nvit_RNA11399_R4	gene_287
Sinv_RNA330_R0	gene_288
Amel_RNA8051_R0	gene_289
Sinv_RNA334_R0	gene_290
Sinv_RNA337_R0	gene_291
Sinv_RNA339_R0	gene_292
Sinv_RNA340_R0	gene_293
Sinv_RNA341_R0	gene_294
Sinv_RNA346_R0	gene_295
Sinv_RNA345_R0	gene_295
Sinv_RNA347_R0	gene_296
Cbir_RNA22844_R4	gene_297
Dqua_RNA23480_R1	gene_298
Sinv_RNA18953_R5	gene_299
Sinv_RNA358_R0	gene_300
Sinv_RNA359_R0	gene_300
Aech_RNA11102_R0	gene_301
Sinv_RNA361_R0	gene_301
Amel_RNA11245_R0	gene_302
Sinv_RNA365_R0	gene_303
Sinv_RNA5260_R1	gene_304
Sinv_RNA360_R0	gene_305
Aech_RNA19209_R4	gene_306
Sinv_RNA12794_R1	gene_307
Sinv_RNA367_R0	gene_308
Sinv_RNA368_R0	gene_309
Sinv_RNA19002_R5	gene_310
Lhum_RNA13345_R0	gene_311
Sinv_RNA371_R0	gene_312
Sinv_RNA379_R0	gene_313
Dqua_RNA23113_R0	gene_313
Aech_RNA19392_R0	gene_314
Mpha_RNA6043_R0	gene_315
Sinv_RNA380_R0	gene_315
Dqua_RNA23113_R1	gene_315
Lhum_RNA9267_R0	gene_316
Aech_RNA19395_R0	gene_316
Sinv_RNA372_R0	gene_317
Sinv_RNA382_R0	gene_318
Cbir_RNA8408_R0	gene_319
Amel_RNA27357_R1	gene_319
Sinv_RNA381_R0	gene_320
Sinv_RNA373_R0	gene_321
Dqua_RNA19730_R7	gene_322
Amel_RNA27357_R2	gene_323
Sinv_RNA396_R0	gene_324
Cbir_RNA8358_R0	gene_325
Dqua_RNA17495_R0	gene_326
Sinv_RNA401_R0	gene_327
Sinv_RNA383_R0	gene_328
Mpha_RNA8532_R0	gene_329
Mpha_RNA8527_R0	gene_330
Amel_RNA27357_R6	gene_330
Cbir_RNA8364_R0	gene_331
Cbir_RNA8364_R1	gene_332
Mpha_RNA8523_R0	gene_333
Sinv_RNA404_R0	gene_334
Sinv_RNA384_R0	gene_335
Dqua_RNA22785_R0	gene_335
Dqua_RNA23600_R1	gene_335
Sinv_RNA385_R0	gene_336
Aech_RNA19408_R0	gene_337
Sinv_RNA387_R0	gene_338
Sinv_RNA386_R0	gene_339
Sinv_RNA390_R0	gene_340
Sinv_RNA388_R0	gene_341
Mpha_RNA509_R0	gene_342
Mpha_RNA20464_R0	gene_343
Sinv_RNA409_R0	gene_344
Sinv_RNA411_R0	gene_345
Sinv_RNA417_R0	gene_346
Mpha_RNA16980_R0	gene_347
Mpha_RNA16979_R0	gene_347
Sinv_RNA420_R0	gene_347
Nvit_RNA20309_R0	gene_347
Sinv_RNA424_R0	gene_348
Sinv_RNA426_R0	gene_349
Cbir_RNA20815_R4	gene_350
Sinv_RNA431_R0	gene_351
Sinv_RNA432_R0	gene_352
Aech_RNA19473_R0	gene_353
Sinv_RNA437_R0	gene_354
Sinv_RNA436_R0	gene_354
Sinv_RNA438_R0	gene_355
Nvit_RNA12185_R0	gene_356
Sinv_RNA442_R0	gene_357
Sinv_RNA441_R0	gene_358
Sinv_RNA393_R0	gene_359
Dmel_RNA17122_R0	gene_360
Mpha_RNA22525_R9	gene_361
Dqua_RNA16151_R0	gene_362
Aech_RNA13582_R1	gene_362
Sinv_RNA410_R0	gene_363
Sinv_RNA413_R0	gene_364
Sinv_RNA415_R0	gene_364
Sinv_RNA425_R0	gene_365
Sinv_RNA428_R0	gene_366
Dmel_RNA27390_R0	gene_366
Sinv_RNA430_R0	gene_367
Sinv_RNA429_R0	gene_368
Mpha_RNA9684_R3	gene_369
Sinv_RNA435_R0	gene_370
Sinv_RNA440_R0	gene_371
Dqua_RNA22454_R5	gene_371
Cbir_RNA9449_R5	gene_371
Sinv_RNA449_R0	gene_372
Dqua_RNA13000_R0	gene_372
Sinv_RNA451_R0	gene_373
Sinv_RNA457_R0	gene_374
Sinv_RNA455_R0	gene_375
Dmel_RNA25802_R0	gene_376
Sinv_RNA463_R0	gene_377
Lhum_RNA5832_R0	gene_378
Mpha_RNA13425_R0	gene_379
Mpha_RNA13421_R0	gene_379
Nvit_RNA6039_R0	gene_379
Mpha_RNA13428_R0	gene_380
Mpha_RNA14397_R2	gene_381
Sinv_RNA484_R0	gene_382
Mpha_RNA10178_R0	gene_383
Lhum_RNA1534_R0	gene_384
Dmel_RNA33549_R3	gene_384
Sinv_RNA499_R0	gene_385
Sinv_RNA501_R0	gene_386
Sinv_RNA445_R0	gene_387
Sinv_RNA447_R0	gene_388
Lhum_RNA5850_R0	gene_388
Cbir_RNA1035_R0	gene_388
Nvit_RNA2286_R9	gene_388
Sinv_RNA448_R0	gene_389
Aech_RNA16637_R0	gene_389
Sinv_RNA450_R0	gene_390
Amel_RNA28806_R0	gene_390
Sinv_RNA453_R0	gene_391
Sinv_RNA461_R0	gene_392
Sinv_RNA462_R0	gene_393
Aech_RNA16941_R0	gene_393
Mpha_RNA13416_R0	gene_393
Amel_RNA21475_R0	gene_393
Lhum_RNA5829_R0	gene_394
Sinv_RNA468_R0	gene_395
Cbir_RNA18166_R1	gene_395
Sinv_RNA471_R0	gene_396
Cbir_RNA1067_R0	gene_396
Sinv_RNA470_R0	gene_397
Sinv_RNA472_R0	gene_398
Sinv_RNA476_R0	gene_399
Sinv_RNA477_R0	gene_400
Cbir_RNA1078_R0	gene_400
Sinv_RNA478_R0	gene_401
Aech_RNA16982_R0	gene_402
Sinv_RNA497_R0	gene_403
Dqua_RNA23367_R0	gene_404
Sinv_RNA503_R0	gene_405
Sinv_RNA504_R0	gene_406
Sinv_RNA505_R0	gene_407
Mpha_RNA10789_R0	gene_407
Sinv_RNA509_R0	gene_408
Dmel_RNA2366_R0	gene_408
Sinv_RNA514_R0	gene_409
Sinv_RNA516_R0	gene_409
Nvit_RNA18437_R0	gene_409
Sinv_RNA507_R0	gene_410
Sinv_RNA508_R0	gene_411
Sinv_RNA510_R0	gene_412
Sinv_RNA511_R0	gene_412
Sinv_RNA518_R0	gene_413
Sinv_RNA520_R0	gene_414
Mpha_RNA19498_R0	gene_414
Mpha_RNA19499_R0	gene_414
Amel_RNA18336_R0	gene_414
Aech_RNA13979_R0	gene_414
Sinv_RNA519_R0	gene_415
Lhum_RNA20281_R0	gene_415
Cbir_RNA11165_R0	gene_415
Amel_RNA20258_R0	gene_416
Lhum_RNA6461_R1	gene_417
Aech_RNA4439_R8	gene_418
Sinv_RNA522_R0	gene_419
Sinv_RNA523_R0	gene_420
Sinv_RNA11051_R8	gene_421
Cbir_RNA11369_R7	gene_422
Sinv_RNA17033_R5	gene_423
Sinv_RNA526_R0	gene_424
Aech_RNA16826_R0	gene_424
Sinv_RNA528_R0	gene_425
Mpha_RNA18724_R0	gene_425
Sinv_RNA530_R0	gene_426
Cbir_RNA16539_R1	gene_427
Sinv_RNA17376_R7	gene_428
Sinv_RNA19597_R6	gene_429
Sinv_RNA9232_R1	gene_430
Sinv_RNA8753_R6	gene_431
Dqua_RNA22014_R8	gene_432
Sinv_RNA10265_R1	gene_433
Sinv_RNA22236_R8	gene_434
Cbir_RNA25202_R6	gene_435
Lhum_RNA13652_R5	gene_436
Sinv_RNA19055_R5	gene_437
Lhum_RNA4907_R7	gene_438
Sinv_RNA532_R0	gene_439
Sinv_RNA533_R0	gene_440
Sinv_RNA12341_R4	gene_441
Sinv_RNA534_R0	gene_442
Sinv_RNA535_R0	gene_443
Cbir_RNA11348_R2	gene_444
Sinv_RNA16628_R1	gene_445
Dqua_RNA19364_R9	gene_446
Sinv_RNA21403_R4	gene_447
Sinv_RNA537_R0	gene_448
Sinv_RNA12045_R3	gene_449
Mpha_RNA22120_R0	gene_450
Dqua_RNA10858_R0	gene_450
Aech_RNA8875_R0	gene_451
Mpha_RNA22118_R0	gene_452
Sinv_RNA544_R0	gene_453
Sinv_RNA543_R0	gene_453
Sinv_RNA548_R0	gene_454
Sinv_RNA547_R0	gene_454
Lhum_RNA5021_R0	gene_455
Aech_RNA3447_R0	gene_456
Sinv_RNA562_R0	gene_456
Sinv_RNA550_R0	gene_457
Lhum_RNA13827_R0	gene_457
Mpha_RNA1516_R0	gene_458
Mpha_RNA1516_R1	gene_459
Sinv_RNA561_R0	gene_460
Sinv_RNA558_R0	gene_461
Sinv_RNA559_R0	gene_462
Mpha_RNA8055_R0	gene_463
Dmel_RNA21082_R0	gene_463
Sinv_RNA565_R0	gene_464
Sinv_RNA580_R0	gene_465
Amel_RNA14500_R0	gene_465
Aech_RNA3433_R0	gene_465
Sinv_RNA582_R0	gene_466
Sinv_RNA583_R0	gene_467
Nvit_RNA18338_R0	gene_467
Sinv_RNA584_R0	gene_468
Lhum_RNA8763_R0	gene_468
Sinv_RNA585_R0	gene_469
Sinv_RNA589_R0	gene_470
Sinv_RNA590_R0	gene_471
Dqua_RNA20964_R0	gene_472
Dqua_RNA20961_R0	gene_473
Amel_RNA22465_R4	gene_474
Sinv_RNA602_R0	gene_475
Sinv_RNA604_R0	gene_476
Sinv_RNA603_R0	gene_477
Sinv_RNA605_R0	gene_478
Sinv_RNA608_R0	gene_479
Dqua_RNA21762_R0	gene_479
Mpha_RNA10069_R0	gene_480
Sinv_RNA610_R0	gene_481
Mpha_RNA10072_R0	gene_482
Sinv_RNA615_R0	gene_483
Sinv_RNA621_R0	gene_484
Sinv_RNA623_R0	gene_485
Sinv_RNA626_R0	gene_486
Sinv_RNA627_R0	gene_487
Sinv_RNA12250_R3	gene_488
Sinv_RNA19131_R2	gene_489
Sinv_RNA553_R0	gene_490
Mpha_RNA8048_R0	gene_490
Sinv_RNA563_R0	gene_491
Sinv_RNA569_R0	gene_492
Cbir_RNA12050_R2	gene_492
Sinv_RNA568_R0	gene_493
Sinv_RNA567_R0	gene_494
Mpha_RNA663_R1	gene_495
Cbir_RNA12056_R1	gene_495
Cbir_RNA12050_R3	gene_495
Sinv_RNA2252_R1	gene_496
Lhum_RNA8772_R0	gene_497
Sinv_RNA572_R0	gene_498
Sinv_RNA574_R0	gene_499
Sinv_RNA579_R0	gene_499
Mpha_RNA19371_R0	gene_499
Lhum_RNA8769_R0	gene_499
Dmel_RNA32349_R0	gene_499
Cbir_RNA12076_R0	gene_500
Lhum_RNA19791_R0	gene_501
Aech_RNA3428_R0	gene_501
Cbir_RNA12081_R0	gene_501
Sinv_RNA607_R0	gene_502
Sinv_RNA613_R0	gene_503
Sinv_RNA612_R0	gene_503
Mpha_RNA22424_R0	gene_504
Lhum_RNA12036_R0	gene_505
Sinv_RNA622_R0	gene_506
Sinv_RNA624_R0	gene_507
Cbir_RNA21540_R0	gene_508
Cbir_RNA21539_R0	gene_509
Lhum_RNA8624_R8	gene_510
Nvit_RNA24643_R9	gene_511
Sinv_RNA20027_R7	gene_512
Cbir_RNA9715_R6	gene_513
Sinv_RNA631_R0	gene_514
Aech_RNA15909_R8	gene_515
Sinv_RNA632_R0	gene_516
Lhum_RNA5230_R1	gene_517
Nvit_RNA16008_R3	gene_518
Nvit_RNA25540_R9	gene_519
Sinv_RNA642_R0	gene_520
Sinv_RNA647_R0	gene_521
Mpha_RNA2959_R0	gene_521
Dqua_RNA23656_R0	gene_521
Dmel_RNA29870_R0	gene_521
Sinv_RNA650_R0	gene_522
Sinv_RNA651_R0	gene_523
Mpha_RNA7513_R0	gene_523
Sinv_RNA652_R0	gene_524
Sinv_RNA635_R0	gene_525
Sinv_RNA640_R0	gene_526
Lhum_RNA4675_R0	gene_526
Cbir_RNA24492_R0	gene_526
Sinv_RNA641_R0	gene_527
Amel_RNA2518_R0	gene_527
Aech_RNA19488_R0	gene_528
Nvit_RNA12172_R0	gene_528
Sinv_RNA648_R0	gene_529
Aech_RNA2726_R8	gene_530
Cbir_RNA7866_R0	gene_531
Sinv_RNA656_R0	gene_532
Sinv_RNA658_R0	gene_533
Sinv_RNA657_R0	gene_534
Dmel_RNA25355_R0	gene_535
Mpha_RNA14847_R0	gene_536
Lhum_RNA16818_R0	gene_537
Cbir_RNA398_R7	gene_538
Nvit_RNA25456_R2	gene_539
Nvit_RNA5849_R2	gene_540
Sinv_RNA12022_R3	gene_541
Sinv_RNA662_R0	gene_542
Sinv_RNA663_R0	gene_543
Sinv_RNA666_R0	gene_544
Cbir_RNA24045_R8	gene_545
Sinv_RNA1069_R8	gene_546
Sinv_RNA19154_R4	gene_547
Cbir_RNA25124_R0	gene_548
Sinv_RNA668_R0	gene_549
Sinv_RNA672_R0	gene_550
Lhum_RNA2200_R4	gene_551
Sinv_RNA19834_R5	gene_552
Sinv_RNA9354_R7	gene_553
Nvit_RNA19785_R5	gene_554
Nvit_RNA25855_R2	gene_555
Cbir_RNA17611_R1	gene_556
Sinv_RNA673_R0	gene_557
Mpha_RNA17879_R0	gene_558
Sinv_RNA675_R0	gene_559
Sinv_RNA676_R0	gene_559
Aech_RNA8978_R0	gene_559
Sinv_RNA678_R0	gene_560
Cbir_RNA24923_R0	gene_561
Sinv_RNA682_R0	gene_562
Sinv_RNA683_R0	gene_563
Sinv_RNA688_R0	gene_564
Sinv_RNA692_R0	gene_565
Sinv_RNA698_R0	gene_566
Sinv_RNA700_R0	gene_567
Sinv_RNA703_R0	gene_568
Sinv_RNA704_R0	gene_569
Lhum_RNA13126_R0	gene_570
Mpha_RNA17878_R0	gene_571
Mpha_RNA17866_R0	gene_572
Sinv_RNA677_R0	gene_573
Sinv_RNA679_R0	gene_574
Dmel_RNA4010_R0	gene_574
Cbir_RNA24937_R0	gene_575
Sinv_RNA685_R0	gene_576
Sinv_RNA684_R0	gene_576
