SINV_RNA2436_R0	gene_4
LNIG_RNA110_R0	gene_89
LNIG_RNA111_R0	gene_90
LNIG_RNA112_R0	gene_100
LNIG_RNA113_R0	gene_91
LHUM_RNA10798_R0	gene_101
MPHA_RNA1801_R0	gene_102
LNIG_RNA117_R0	gene_103
LHUM_RNA10807_R0	gene_104
LNIG_RNA121_R0	gene_105
LNIG_RNA122_R0	gene_107
LNIG_RNA123_R0	gene_106
LNIG_RNA125_R0	gene_108
LNIG_RNA126_R0	gene_109
SINV_RNA11089_R0	gene_110
LNIG_RNA128_R0	gene_111
LNIG_RNA129_R0	gene_112
AECH_RNA20786_R0	gene_115
LNIG_RNA131_R0	gene_113
SINV_RNA13691_R0	gene_116
MPHA_RNA401_R0	gene_114
LNIG_RNA132_R0	gene_117
LNIG_RNA133_R0	gene_118
LNIG_RNA134_R0	gene_119
LNIG_RNA135_R0	gene_121
LNIG_RNA136_R0	gene_120
LNIG_RNA137_R0	gene_122
LNIG_RNA138_R0	gene_123
DMEL_RNA14389_R3	gene_127
LNIG_RNA140_R0	gene_128
LNIG_RNA141_R0	gene_124
LNIG_RNA142_R0	gene_125
LNIG_RNA143_R0	gene_126
LNIG_RNA5126_R1	gene_129
LNIG_RNA13471_R1	gene_130
SINV_RNA18064_R5	gene_131
LNIG_RNA144_R0	gene_139
MPHA_RNA3405_R0	gene_132
LNIG_RNA146_R0	gene_133
DQUA_RNA16469_R0	gene_140
LNIG_RNA147_R0	gene_141
LNIG_RNA148_R0	gene_134
LHUM_RNA15223_R0	gene_142
LNIG_RNA150_R0	gene_143
LNIG_RNA151_R0	gene_135
SINV_RNA19695_R0	gene_144
LNIG_RNA153_R0	gene_136
LNIG_RNA154_R0	gene_145
LNIG_RNA155_R0	gene_137
LNIG_RNA156_R0	gene_138
DMEL_RNA8290_R0	gene_146
LNIG_RNA157_R0	gene_147
AECH_RNA5971_R0	gene_151
LNIG_RNA158_R0	gene_148
MPHA_RNA17791_R0	gene_152
LNIG_RNA161_R0	gene_149
LNIG_RNA162_R0	gene_153
LNIG_RNA163_R0	gene_154
DMEL_RNA11421_R3	gene_150
LHUM_RNA4293_R1	gene_156
LNIG_RNA164_R0	gene_155
LNIG_RNA165_R0	gene_157
LNIG_RNA166_R0	gene_158
CBIR_RNA1047_R0	gene_159
CBIR_RNA15312_R0	gene_160
LNIG_RNA169_R0	gene_162
LNIG_RNA171_R0	gene_163
LNIG_RNA172_R0	gene_161
AECH_RNA17952_R0	gene_166
LNIG_RNA173_R0	gene_164
LNIG_RNA174_R0	gene_167
LNIG_RNA175_R0	gene_165
LNIG_RNA176_R0	gene_168
LNIG_RNA177_R0	gene_169
AECH_RNA15621_R0	gene_170
AECH_RNA15620_R0	gene_172
DQUA_RNA15925_R0	gene_171
LNIG_RNA181_R0	gene_178
LNIG_RNA182_R0	gene_173
MPHA_RNA9471_R0	gene_174
SINV_RNA19114_R0	gene_179
LNIG_RNA183_R0	gene_180
LNIG_RNA184_R0	gene_181
MPHA_RNA14017_R0	gene_175
LNIG_RNA186_R0	gene_176
CBIR_RNA23563_R0	gene_177
LNIG_RNA187_R0	gene_182
AMEL_RNA28392_R4	gene_183
CBIR_RNA17898_R0	gene_184
LHUM_RNA8313_R1	gene_185
MPHA_RNA1845_R0	gene_188
LNIG_RNA188_R0	gene_186
MPHA_RNA16151_R0	gene_187
LNIG_RNA189_R0	gene_189
AECH_RNA17835_R0	gene_190
LNIG_RNA191_R0	gene_192
LNIG_RNA192_R0	gene_191
LNIG_RNA193_R0	gene_193
DQUA_RNA6046_R0	gene_194
LNIG_RNA194_R0	gene_195
DMEL_RNA20943_R5	gene_196
AECH_RNA6506_R0	gene_197
LNIG_RNA195_R0	gene_198
LNIG_RNA196_R0	gene_201
LHUM_RNA16827_R0	gene_202
LNIG_RNA198_R0	gene_199
LNIG_RNA199_R0	gene_200
LNIG_RNA200_R0	gene_203
MPHA_RNA5321_R0	gene_204
LNIG_RNA201_R0	gene_210
LNIG_RNA202_R0	gene_205
LNIG_RNA203_R0	gene_211
LNIG_RNA204_R0	gene_206
AECH_RNA12794_R0	gene_212
LNIG_RNA205_R0	gene_207
LNIG_RNA206_R0	gene_213
LNIG_RNA207_R0	gene_208
MPHA_RNA4928_R0	gene_214
CBIR_RNA24398_R0	gene_215
AECH_RNA14114_R0	gene_209
DMEL_RNA11421_R4	gene_216
LNIG_RNA210_R0	gene_217
LNIG_RNA211_R0	gene_218
LHUM_RNA21161_R6	gene_220
SINV_RNA2674_R0	gene_219
LNIG_RNA214_R0	gene_221
MPHA_RNA4719_R0	gene_223
LNIG_RNA215_R0	gene_222
LNIG_RNA216_R0	gene_224
AECH_RNA13603_R0	gene_228
LNIG_RNA219_R0	gene_229
LNIG_RNA220_R0	gene_225
LNIG_RNA221_R0	gene_230
LNIG_RNA222_R0	gene_226
LNIG_RNA223_R0	gene_227
LNIG_RNA224_R0	gene_234
LNIG_RNA225_R0	gene_235
AECH_RNA4412_R0	gene_231
LNIG_RNA226_R0	gene_232
LNIG_RNA227_R0	gene_236
CBIR_RNA23061_R0	gene_233
AMEL_RNA28033_R0	gene_237
LNIG_RNA230_R0	gene_238
LNIG_RNA231_R0	gene_239
DMEL_RNA11301_R2	gene_240
SINV_RNA3756_R0	gene_241
LNIG_RNA232_R0	gene_242
MPHA_RNA10242_R0	gene_246
LNIG_RNA235_R0	gene_243
SINV_RNA179_R0	gene_247
CBIR_RNA103_R0	gene_244
AECH_RNA2501_R0	gene_245
LNIG_RNA240_R0	gene_248
LNIG_RNA241_R0	gene_249
AMEL_RNA4784_R0	gene_250
AECH_RNA1970_R0	gene_251
AECH_RNA4178_R1	gene_252
LNIG_RNA245_R0	gene_253
LNIG_RNA247_R0	gene_254
LHUM_RNA18762_R0	gene_255
LNIG_RNA249_R0	gene_259
LNIG_RNA250_R0	gene_256
SINV_RNA18574_R0	gene_257
LNIG_RNA252_R0	gene_258
MPHA_RNA5705_R0	gene_260
SINV_RNA15437_R0	gene_261
CBIR_RNA13006_R0	gene_263
LNIG_RNA254_R0	gene_262
LNIG_RNA255_R0	gene_264
LNIG_RNA257_R0	gene_269
AECH_RNA4528_R0	gene_268
LNIG_RNA261_R0	gene_272
LNIG_RNA262_R0	gene_273
SINV_RNA4268_R0	gene_265
LNIG_RNA265_R0	gene_266
LNIG_RNA266_R0	gene_270
MPHA_RNA5244_R0	gene_271
AECH_RNA4522_R0	gene_267
LNIG_RNA267_R0	gene_274
LNIG_RNA268_R0	gene_275
DQUA_RNA1162_R0	gene_276
LNIG_RNA270_R0	gene_277
LNIG_RNA271_R0	gene_278
AECH_RNA20104_R0	gene_279
LNIG_RNA273_R0	gene_280
SINV_RNA6267_R0	gene_281
CBIR_RNA2741_R0	gene_282
LNIG_RNA274_R0	gene_283
LNIG_RNA275_R0	gene_285
LNIG_RNA276_R0	gene_284
MPHA_RNA15533_R0	gene_289
LNIG_RNA277_R0	gene_286
LNIG_RNA278_R0	gene_287
LNIG_RNA279_R0	gene_290
DMEL_RNA17063_R0	gene_288
SINV_RNA1742_R0	gene_294
LNIG_RNA281_R0	gene_291
LNIG_RNA282_R0	gene_295
LNIG_RNA283_R0	gene_296
SINV_RNA8461_R0	gene_292
LNIG_RNA285_R0	gene_297
LNIG_RNA286_R0	gene_293
LNIG_RNA287_R0	gene_298
DMEL_RNA11301_R0	gene_299
LNIG_RNA288_R0	gene_300
LNIG_RNA289_R0	gene_301
LNIG_RNA290_R0	gene_303
AECH_RNA16763_R0	gene_302
LNIG_RNA291_R0	gene_304
SINV_RNA20883_R0	gene_305
CBIR_RNA18379_R0	gene_309
LNIG_RNA293_R0	gene_306
LNIG_RNA294_R0	gene_310
LNIG_RNA295_R0	gene_307
CBIR_RNA8776_R0	gene_311
SINV_RNA11565_R0	gene_312
LNIG_RNA297_R0	gene_308
LNIG_RNA298_R0	gene_315
LNIG_RNA299_R0	gene_316
CBIR_RNA24040_R0	gene_313
LNIG_RNA300_R0	gene_314
LNIG_RNA301_R0	gene_317
LNIG_RNA302_R0	gene_318
LHUM_RNA3905_R0	gene_320
LNIG_RNA304_R0	gene_319
MPHA_RNA12292_R0	gene_321
SINV_RNA15870_R0	gene_324
MPHA_RNA8101_R0	gene_322
LNIG_RNA307_R0	gene_325
MPHA_RNA15889_R0	gene_323
MPHA_RNA22754_R0	gene_327
LHUM_RNA21357_R0	gene_326
LNIG_RNA311_R0	gene_328
LNIG_RNA312_R0	gene_334
LNIG_RNA313_R0	gene_329
LNIG_RNA314_R0	gene_330
AECH_RNA8068_R0	gene_335
LNIG_RNA316_R0	gene_331
LHUM_RNA4587_R0	gene_336
LNIG_RNA319_R0	gene_332
LNIG_RNA320_R0	gene_338
LNIG_RNA321_R0	gene_337
LNIG_RNA322_R0	gene_333
LNIG_RNA324_R0	gene_339
MPHA_RNA11458_R0	gene_344
MPHA_RNA8590_R0	gene_340
LNIG_RNA325_R0	gene_345
LHUM_RNA7165_R0	gene_341
LHUM_RNA7166_R0	gene_342
SINV_RNA6782_R0	gene_346
MPHA_RNA486_R0	gene_343
LNIG_RNA329_R0	gene_347
LNIG_RNA330_R0	gene_348
LNIG_RNA331_R0	gene_350
LNIG_RNA332_R0	gene_351
LNIG_RNA333_R0	gene_349
LNIG_RNA334_R0	gene_352
LNIG_RNA335_R0	gene_353
LHUM_RNA12273_R0	gene_354
LHUM_RNA12277_R0	gene_357
LHUM_RNA12279_R0	gene_355
CBIR_RNA5344_R0	gene_356
LNIG_RNA339_R0	gene_358
LNIG_RNA340_R0	gene_359
MPHA_RNA6875_R0	gene_360
LNIG_RNA343_R0	gene_361
LHUM_RNA9376_R0	gene_362
SINV_RNA1806_R0	gene_367
DQUA_RNA9595_R0	gene_363
LNIG_RNA350_R0	gene_368
LNIG_RNA351_R0	gene_364
DMEL_RNA28186_R0	gene_366
LNIG_RNA352_R0	gene_365
LNIG_RNA353_R0	gene_369
LNIG_RNA354_R0	gene_375
AECH_RNA8907_R0	gene_376
LNIG_RNA356_R0	gene_377
LNIG_RNA357_R0	gene_370
SINV_RNA4060_R0	gene_371
CBIR_RNA13979_R0	gene_378
LNIG_RNA361_R0	gene_372
LNIG_RNA362_R0	gene_379
LNIG_RNA363_R0	gene_380
LNIG_RNA364_R0	gene_381
LNIG_RNA365_R0	gene_373
CBIR_RNA17588_R0	gene_374
DMEL_RNA6424_R4	gene_382
LHUM_RNA15559_R0	gene_390
LNIG_RNA368_R0	gene_389
LHUM_RNA15562_R0	gene_384
SINV_RNA1722_R0	gene_385
LNIG_RNA369_R0	gene_383
LNIG_RNA370_R0	gene_391
LNIG_RNA371_R0	gene_392
LNIG_RNA372_R0	gene_386
LNIG_RNA373_R0	gene_393
LNIG_RNA374_R0	gene_387
MPHA_RNA12272_R0	gene_394
LNIG_RNA376_R0	gene_395
LNIG_RNA377_R0	gene_388
DMEL_RNA6424_R1	gene_402
LNIG_RNA378_R0	gene_403
MPHA_RNA23695_R0	gene_396
DMEL_RNA14403_R4	gene_401
CBIR_RNA18091_R4	gene_399
LNIG_RNA380_R0	gene_397
MPHA_RNA287_R2	gene_400
MPHA_RNA283_R5	gene_398
LNIG_RNA381_R0	gene_404
LNIG_RNA382_R0	gene_406
AECH_RNA13409_R0	gene_405
LNIG_RNA383_R0	gene_407
AECH_RNA21087_R0	gene_408
SINV_RNA15369_R0	gene_410
SINV_RNA15372_R0	gene_409
LNIG_RNA387_R0	gene_411
LNIG_RNA388_R0	gene_413
LHUM_RNA23234_R0	gene_412
SINV_RNA4125_R0	gene_414
CBIR_RNA17245_R0	gene_415
LHUM_RNA12015_R0	gene_416
LHUM_RNA11762_R0	gene_417
SINV_RNA2641_R0	gene_418
AECH_RNA988_R0	gene_419
LNIG_RNA394_R0	gene_420
MPHA_RNA17007_R0	gene_421
LNIG_RNA395_R0	gene_422
LNIG_RNA396_R0	gene_423
LNIG_RNA397_R0	gene_424
CBIR_RNA23653_R0	gene_425
LNIG_RNA399_R0	gene_426
LNIG_RNA400_R0	gene_427
LHUM_RNA19398_R0	gene_429
LNIG_RNA402_R0	gene_430
LHUM_RNA19400_R0	gene_428
LNIG_RNA403_R0	gene_431
LNIG_RNA404_R0	gene_432
CBIR_RNA11299_R0	gene_433
LNIG_RNA405_R0	gene_434
LNIG_RNA406_R0	gene_435
CBIR_RNA18903_R4	gene_438
LNIG_RNA407_R0	gene_437
LNIG_RNA408_R0	gene_436
LNIG_RNA409_R0	gene_440
DMEL_RNA25798_R9	gene_439
LHUM_RNA22099_R0	gene_441
LNIG_RNA411_R0	gene_442
MPHA_RNA4610_R0	gene_443
CBIR_RNA8644_R0	gene_444
LHUM_RNA9585_R0	gene_445
LNIG_RNA414_R0	gene_446
LNIG_RNA415_R0	gene_447
LNIG_RNA416_R0	gene_451
LNIG_RNA417_R0	gene_448
LNIG_RNA418_R0	gene_449
LNIG_RNA419_R0	gene_450
SINV_RNA8674_R0	gene_452
SINV_RNA9932_R0	gene_453
LNIG_RNA422_R0	gene_454
LNIG_RNA423_R0	gene_458
MPHA_RNA14702_R0	gene_455
LNIG_RNA425_R0	gene_459
LNIG_RNA426_R0	gene_456
LHUM_RNA12995_R0	gene_457
LNIG_RNA428_R0	gene_465
LNIG_RNA429_R0	gene_460
LNIG_RNA430_R0	gene_466
DQUA_RNA19851_R0	gene_461
LNIG_RNA432_R0	gene_467
LNIG_RNA433_R0	gene_462
LNIG_RNA434_R0	gene_468
LNIG_RNA435_R0	gene_463
LNIG_RNA436_R0	gene_469
LNIG_RNA437_R0	gene_464
DMEL_RNA3138_R0	gene_470
AECH_RNA6896_R0	gene_471
LNIG_RNA438_R0	gene_472
SINV_RNA13202_R4	gene_473
SINV_RNA3993_R0	gene_474
LNIG_RNA440_R0	gene_475
LHUM_RNA13881_R2	gene_476
LNIG_RNA441_R0	gene_478
LNIG_RNA442_R0	gene_477
DMEL_RNA6363_R5	gene_479
LNIG_RNA443_R0	gene_484
LNIG_RNA444_R0	gene_480
LNIG_RNA445_R0	gene_485
LHUM_RNA23295_R0	gene_486
LHUM_RNA23296_R0	gene_481
LHUM_RNA23291_R0	gene_482
AECH_RNA3936_R0	gene_487
LHUM_RNA23286_R0	gene_488
LNIG_RNA458_R0	gene_483
AECH_RNA3931_R0	gene_489
LHUM_RNA6837_R0	gene_492
LNIG_RNA462_R0	gene_493
LNIG_RNA463_R0	gene_490
LNIG_RNA464_R0	gene_494
LNIG_RNA465_R0	gene_495
LNIG_RNA466_R0	gene_496
LNIG_RNA467_R0	gene_491
LHUM_RNA20814_R0	gene_497
AECH_RNA20097_R0	gene_498
LNIG_RNA469_R0	gene_499
AECH_RNA9246_R0	gene_504
LNIG_RNA471_R0	gene_503
LNIG_RNA472_R0	gene_500
LNIG_RNA473_R0	gene_505
AECH_RNA9237_R0	gene_501
LNIG_RNA475_R0	gene_506
LNIG_RNA476_R0	gene_507
MPHA_RNA4641_R0	gene_502
LNIG_RNA478_R0	gene_508
LNIG_RNA886_R6	gene_509
DQUA_RNA20040_R1	gene_510
LNIG_RNA479_R0	gene_511
LHUM_RNA6499_R0	gene_512
LHUM_RNA944_R0	gene_517
MPHA_RNA16483_R1	gene_518
LNIG_RNA481_R0	gene_513
LHUM_RNA11989_R0	gene_519
LNIG_RNA483_R0	gene_514
LHUM_RNA11982_R0	gene_520
LNIG_RNA485_R0	gene_521
LNIG_RNA486_R0	gene_515
LNIG_RNA487_R0	gene_516
LNIG_RNA488_R0	gene_522
LNIG_RNA489_R0	gene_523
LNIG_RNA490_R0	gene_524
AECH_RNA7855_R0	gene_525
LNIG_RNA491_R0	gene_526
DMEL_RNA30814_R6	gene_528
LNIG_RNA492_R0	gene_529
LNIG_RNA493_R0	gene_530
MPHA_RNA21411_R0	gene_527
SINV_RNA7078_R0	gene_531
LNIG_RNA497_R0	gene_532
LHUM_RNA19938_R1	gene_533
LNIG_RNA498_R0	gene_534
AMEL_RNA12945_R0	gene_535
LNIG_RNA499_R0	gene_536
LHUM_RNA19862_R1	gene_537
LNIG_RNA501_R0	gene_538
LHUM_RNA12621_R0	gene_539
LNIG_RNA503_R0	gene_540
LNIG_RNA504_R0	gene_543
LNIG_RNA505_R0	gene_541
LHUM_RNA8483_R0	gene_544
LNIG_RNA507_R0	gene_542
LNIG_RNA508_R0	gene_545
SINV_RNA11031_R0	gene_547
LHUM_RNA5112_R0	gene_546
LNIG_RNA509_R0	gene_552
LNIG_RNA510_R0	gene_550
LNIG_RNA511_R0	gene_548
LNIG_RNA512_R0	gene_549
AMEL_RNA25274_R0	gene_551
LNIG_RNA514_R0	gene_553
LNIG_RNA515_R0	gene_556
LNIG_RNA516_R0	gene_554
LNIG_RNA517_R0	gene_557
AECH_RNA16820_R0	gene_555
LNIG_RNA519_R0	gene_558
LNIG_RNA520_R0	gene_559
LHUM_RNA12035_R0	gene_560
LNIG_RNA521_R0	gene_565
LNIG_RNA522_R0	gene_566
LNIG_RNA523_R0	gene_567
LNIG_RNA524_R0	gene_561
LNIG_RNA525_R0	gene_563
LNIG_RNA526_R0	gene_564
LNIG_RNA527_R0	gene_562
LNIG_RNA528_R0	gene_568
LHUM_RNA20802_R0	gene_569
AMEL_RNA21511_R0	gene_570
LNIG_RNA531_R0	gene_571
MPHA_RNA15734_R0	gene_577
LHUM_RNA23739_R0	gene_578
LNIG_RNA533_R0	gene_579
CBIR_RNA8080_R0	gene_572
LNIG_RNA535_R0	gene_580
LHUM_RNA23732_R0	gene_573
LNIG_RNA537_R0	gene_581
LHUM_RNA23729_R0	gene_574
LNIG_RNA538_R0	gene_582
LHUM_RNA23724_R0	gene_575
LNIG_RNA540_R0	gene_576
LNIG_RNA541_R0	gene_583
LNIG_RNA542_R0	gene_588
LNIG_RNA543_R0	gene_584
CBIR_RNA9823_R0	gene_585
LNIG_RNA544_R0	gene_589
LNIG_RNA545_R0	gene_586
SINV_RNA2186_R0	gene_587
LHUM_RNA2870_R0	gene_590
LNIG_RNA547_R0	gene_591
LHUM_RNA12412_R2	gene_592
LNIG_RNA548_R0	gene_599
LNIG_RNA549_R0	gene_593
LNIG_RNA550_R0	gene_600
LHUM_RNA16339_R0	gene_594
LHUM_RNA16340_R0	gene_601
LNIG_RNA552_R0	gene_595
LNIG_RNA553_R0	gene_596
LNIG_RNA554_R0	gene_597
LNIG_RNA555_R0	gene_598
LNIG_RNA556_R0	gene_604
LNIG_RNA557_R0	gene_605
CBIR_RNA2473_R0	gene_602
LHUM_RNA5955_R0	gene_606
LNIG_RNA560_R0	gene_603
CBIR_RNA22755_R0	gene_609
SINV_RNA889_R0	gene_610
LNIG_RNA562_R0	gene_607
MPHA_RNA14695_R0	gene_608
LNIG_RNA564_R0	gene_611
LNIG_RNA565_R0	gene_612
SINV_RNA3366_R0	gene_613
LNIG_RNA566_R0	gene_614
LNIG_RNA567_R0	gene_615
AECH_RNA10962_R0	gene_616
LNIG_RNA568_R0	gene_617
LHUM_RNA14562_R0	gene_620
MPHA_RNA8025_R0	gene_618
LNIG_RNA571_R0	gene_621
NVIT_RNA12237_R0	gene_619
LNIG_RNA574_R0	gene_622
LNIG_RNA575_R0	gene_623
MPHA_RNA4428_R0	gene_626
LNIG_RNA576_R0	gene_627
LNIG_RNA577_R0	gene_624
LNIG_RNA578_R0	gene_625
MPHA_RNA7219_R0	gene_628
LHUM_RNA17861_R0	gene_631
LNIG_RNA580_R0	gene_629
LHUM_RNA17865_R0	gene_632
LNIG_RNA581_R0	gene_630
AECH_RNA17332_R0	gene_633
LNIG_RNA582_R0	gene_639
LNIG_RNA583_R0	gene_634
LNIG_RNA584_R0	gene_635
LNIG_RNA585_R0	gene_640
LNIG_RNA586_R0	gene_641
LNIG_RNA587_R0	gene_636
LNIG_RNA588_R0	gene_637
LNIG_RNA589_R0	gene_638
LNIG_RNA591_R0	gene_642
LNIG_RNA592_R0	gene_643
LNIG_RNA593_R0	gene_645
AECH_RNA5148_R0	gene_644
LNIG_RNA594_R0	gene_646
DMEL_RNA30814_R7	gene_648
LHUM_RNA17047_R0	gene_649
LNIG_RNA596_R0	gene_647
DQUA_RNA3535_R1	gene_650
LNIG_RNA597_R0	gene_651
LNIG_RNA598_R0	gene_652
LNIG_RNA600_R0	gene_653
AECH_RNA3382_R0	gene_654
LNIG_RNA603_R0	gene_657
LNIG_RNA604_R0	gene_658
LNIG_RNA605_R0	gene_655
CBIR_RNA2043_R0	gene_659
LNIG_RNA607_R0	gene_660
LNIG_RNA608_R0	gene_656
LNIG_RNA609_R0	gene_661
LHUM_RNA19489_R0	gene_664
LNIG_RNA611_R0	gene_662
CBIR_RNA8843_R0	gene_665
LNIG_RNA612_R0	gene_663
LNIG_RNA613_R0	gene_666
LNIG_RNA616_R0	gene_667
LNIG_RNA617_R0	gene_668
LHUM_RNA9194_R0	gene_669
MPHA_RNA5033_R0	gene_672
CBIR_RNA11116_R0	gene_671
LNIG_RNA619_R0	gene_670
LNIG_RNA620_R0	gene_673
LNIG_RNA621_R0	gene_674
DQUA_RNA10858_R0	gene_675
LNIG_RNA622_R0	gene_678
AECH_RNA8900_R0	gene_676
MPHA_RNA22128_R0	gene_677
LNIG_RNA626_R0	gene_679
SINV_RNA8619_R0	gene_680
LHUM_RNA14867_R0	gene_681
AMEL_RNA13364_R1	gene_683
AECH_RNA7227_R0	gene_682
LNIG_RNA628_R0	gene_684
LNIG_RNA630_R0	gene_687
DQUA_RNA9919_R0	gene_685
LNIG_RNA631_R0	gene_686
LHUM_RNA10606_R0	gene_688
LNIG_RNA634_R0	gene_689
LNIG_RNA635_R0	gene_692
LNIG_RNA636_R0	gene_690
LNIG_RNA637_R0	gene_693
LNIG_RNA638_R0	gene_691
AECH_RNA13083_R0	gene_696
LNIG_RNA639_R0	gene_694
AECH_RNA13079_R0	gene_695
LNIG_RNA641_R0	gene_697
LNIG_RNA642_R0	gene_698
LHUM_RNA21822_R0	gene_699
LNIG_RNA643_R0	gene_700
CBIR_RNA21231_R0	gene_702
LNIG_RNA645_R0	gene_701
DMEL_RNA31359_R3	gene_704
LNIG_RNA646_R0	gene_703
AECH_RNA2085_R0	gene_705
LNIG_RNA647_R0	gene_706
LNIG_RNA648_R0	gene_707
LNIG_RNA649_R0	gene_709
LNIG_RNA650_R0	gene_710
MPHA_RNA21320_R0	gene_708
LNIG_RNA652_R0	gene_711
AECH_RNA7437_R0	gene_712
DQUA_RNA18075_R0	gene_714
LNIG_RNA655_R0	gene_713
LNIG_RNA656_R0	gene_716
LNIG_RNA657_R0	gene_717
LHUM_RNA18255_R0	gene_715
LNIG_RNA658_R0	gene_718
LNIG_RNA659_R0	gene_719
LHUM_RNA5658_R1	gene_720
LNIG_RNA662_R0	gene_721
LNIG_RNA663_R0	gene_722
CBIR_RNA7537_R1	gene_723
LNIG_RNA665_R0	gene_724
LNIG_RNA666_R0	gene_725
LNIG_RNA667_R0	gene_726
MPHA_RNA23241_R0	gene_727
LNIG_RNA668_R0	gene_731
LNIG_RNA669_R0	gene_728
AECH_RNA8167_R0	gene_732
LNIG_RNA672_R0	gene_729
AMEL_RNA8376_R0	gene_733
LNIG_RNA673_R0	gene_730
CBIR_RNA8860_R0	gene_734
LNIG_RNA676_R0	gene_735
LNIG_RNA677_R0	gene_736
DMEL_RNA15112_R0	gene_737
LNIG_RNA678_R0	gene_740
LNIG_RNA679_R0	gene_741
CBIR_RNA14680_R0	gene_738
MPHA_RNA20949_R0	gene_742
AECH_RNA3140_R0	gene_739
CBIR_RNA4977_R0	gene_743
AECH_RNA13432_R0	gene_747
LNIG_RNA684_R0	gene_748
CBIR_RNA4970_R0	gene_744
LNIG_RNA686_R0	gene_749
LNIG_RNA687_R0	gene_745
LNIG_RNA688_R0	gene_746
SINV_RNA17656_R0	gene_751
LNIG_RNA689_R0	gene_750
LHUM_RNA18584_R0	gene_752
SINV_RNA944_R0	gene_753
LHUM_RNA19130_R0	gene_756
LNIG_RNA695_R0	gene_754
LNIG_RNA696_R0	gene_757
SINV_RNA953_R0	gene_755
MPHA_RNA8628_R0	gene_758
LNIG_RNA698_R0	gene_759
LNIG_RNA699_R0	gene_760
LNIG_RNA700_R0	gene_761
LNIG_RNA701_R0	gene_762
LNIG_RNA702_R0	gene_764
LNIG_RNA703_R0	gene_765
